Software,RP Name,Software's Web Page,Software Documentation/Link,Example Software Use (link)
edta,anvil,,,
eggnog-mapper,anvil,,,
eigen,"aces, anvil, darwin, expanse, faster, stampede3",https://eigen.tuxfamily.org/,https://eigen.tuxfamily.org/dox/,https://eigen.tuxfamily.org/dox/GettingStarted.html
einops,"aces, faster",https://einops.rocks/,https://einops.rocks/#api,https://einops.rocks/1-einops-basics/
elfutils,"aces, faster",https://sourceware.org/elfutils/,https://github.com/roolebo/elfutils/blob/master/libelf/libelf.h,https://access.redhat.com/documentation/en-us/red_hat_developer_toolset/7/html/user_guide/chap-elfutils
elpa,"aces, expanse, faster, ookami",https://elpa.mpcdf.mpg.de/,https://elpa.mpcdf.mpg.de/documentation/doxygen/ELPA_DOXYGEN_PAGES/ELPA-2024.03.001.rc1/html/index.html,https://gitlab.mpcdf.mpg.de/elpa/elpa/-/blob/master/documentation/USERS_GUIDE.md
emacs,"aces, anvil, darwin",https://www.gnu.org/software/emacs/,https://www.gnu.org/software/emacs/manual/html_node/emacs/index.html,https://www.gnu.org/software/emacs/manual/html_node/emacs/Basic.html
emboss,"anvil, expanse, faster",,,
enchant-2,"aces, faster",,,
energyplus,faster,,,
ensembl-vep,anvil,https://useast.ensembl.org/info/docs/tools/vep/index.html,https://useast.ensembl.org/info/docs/tools/vep/script/index.html#contents,"https://useast.ensembl.org/info/docs/tools/vep/script/vep_tutorial.html , https://useast.ensembl.org/info/docs/tools/vep/script/vep_example.html "
entrezdirect,expanse,https://github.com/Klortho/edirect,https://www.ncbi.nlm.nih.gov/books/NBK179288/,"https://www.ncbi.nlm.nih.gov/books/NBK565821/ , https://hpc.nih.gov/apps/edirect.html"
epic2,anvil,,,
esm,faster,,,
esmf,"aces, expanse, faster",https://earthsystemmodeling.org/,https://earthsystemmodeling.org/doc/,https://earthsystemmodeling.org/tutorials/
evidencemodeler,anvil,,,
exabayes,expanse,,,
exiv2,"aces, faster",,,
exonerate,anvil,,,
expansionhunter,anvil,,,
expat,"aces, faster, kyric",https://libexpat.github.io/,https://libexpat.github.io/doc/api/latest/,"https://libexpat.github.io/doc/getting-started/ , https://www.xml.com/pub/1999/09/expat/index.html "
expecttest,"aces, faster",https://github.com/ezyang/expecttest,https://github.com/ezyang/expecttest/blob/main/README.md,
extrae,kyric,https://tools.bsc.es/extrae,https://tools.bsc.es/doc/html/extrae/api.html,"https://tools.bsc.es/doc/html/extrae/quick-guide.html , https://tools.bsc.es/doc/html/extrae/examples.html "
eztrace,aces,,,
fasta3,anvil,,,
fastai,aces,https://www.fast.ai/,https://docs.fast.ai/,"https://course.fast.ai/ , https://course.fast.ai/Lessons/part2.html , https://course18.fast.ai/lessonsml1/lesson1.html , https://www.youtube.com/playlist?list=PLfYUBJiXbdtSLBPJ1GMx-sQWf6iNhb8mM "
fastani,"anvil, bridges-2",https://github.com/ParBLiSS/FastANI,https://github.com/ParBLiSS/FastANI/blob/master/README.md,https://hackmd.io/@AstrobioMike/Nadjet-fastANI-example
fastcore,faster,,,
fastp,"anvil, expanse",,,
fastq_pair,anvil,,,
fastq-scan,anvil,,,
fastq-tools,bridges-2,,,
fastqc,"aces, anvil, bridges-2, expanse, faster",https://www.bioinformatics.babraham.ac.uk/projects/fastqc/,https://www.bioinformatics.babraham.ac.uk/projects/fastqc/Help/,https://www.youtube.com/watch?v=bz93ReOv87Y
fastspar,anvil,,,
faststructure,anvil,,,
fasttree,"aces, anvil, expanse",,,
fastx_toolkit,anvil,http://hannonlab.cshl.edu/fastx_toolkit/,http://hannonlab.cshl.edu/fastx_toolkit/galaxy.html,http://hannonlab.cshl.edu/fastx_toolkit/commandline.html#fastq_info_example
fastx-toolkit,"anvil, bridges-2, expanse",http://hannonlab.cshl.edu/fastx_toolkit/,http://hannonlab.cshl.edu/fastx_toolkit/galaxy.html,http://hannonlab.cshl.edu/fastx_toolkit/commandline.html#fastq_info_example
fdasrsf,faster,,,
femzip-l,faster,,,
ffmpeg,"aces, anvil, bridges-2, expanse, faster, ookami",https://www.ffmpeg.org/,https://www.ffmpeg.org/documentation.html,"https://trac.ffmpeg.org/wiki/Encode/H.264 , https://trac.ffmpeg.org/wiki "
ffnvcodec,"aces, faster",https://git.videolan.org/?p=ffmpeg/nv-codec-headers.git,https://git.videolan.org/?p=ffmpeg/nv-codec-headers.git;a=tree,
fftw,"aces, anvil, bridges-2, darwin, delta, expanse, faster, kyric",https://www.fftw.org/,https://www.fftw.org/fftw3_doc/,https://www.fftw.org/fftw3_doc/Tutorial.html
fftw.mpi,"aces, faster",https://www.fftw.org/fftw3_doc/Distributed_002dmemory-FFTW-with-MPI.html#Distributed_002dmemory-FFTW-with-MPI,https://www.fftw.org/fftw3_doc/FFTW-MPI-Reference.html,https://www.fftw.org/fftw3_doc/Using-MPI-Plans.html
fftw3,"ookami, stampede3",https://www.fftw.org/,https://www.fftw.org/fftw3_doc/,https://www.fftw.org/fftw3_doc/Tutorial.html
fiji,faster,,,
file,"aces, faster",https://www.darwinsys.com/file/,https://linux.die.net/man/1/file,https://man7.org/linux/man-pages/man1/file.1.html#EXAMPLES
filtlong,anvil,,,
fiona,"aces, faster",,,
firefox,"aces, faster",https://www.mozilla.org/en-US/firefox/new/,https://developer.mozilla.org/en-US/docs/Mozilla/Firefox,https://developer.mozilla.org/en-US/docs/Learn
firestarter,faster,,,
flac,"aces, faster",https://xiph.org/flac/,https://xiph.org/flac/api/index.html,https://github.com/xiph/flac/tree/master/examples
flash,"bridges-2, faster",https://ccb.jhu.edu/software/FLASH/,https://sourceforge.net/p/flashpage/code/ci/master/tree/,https://sourceforge.net/p/flashpage/code/ci/master/tree/flash.c
flask,"aces, faster",https://palletsprojects.com/p/flask/,https://flask.palletsprojects.com/en/3.0.x/,"https://flask.palletsprojects.com/en/3.0.x/tutorial/ , https://www.tutorialspoint.com/flask/index.htm , https://www.fullstackpython.com/flask.html "
flatbuffers,"aces, faster",https://github.com/google/flatbuffers,https://flatbuffers.dev/modules.html,https://flatbuffers.dev/flatbuffers_guide_tutorial.html
flatbuffers-python,"aces, faster",https://pypi.org/project/flatbuffers/,https://flatbuffers.dev/flatbuffers_guide_use_python.html,"https://github.com/google/flatbuffers/blob/master/samples/sample_binary.py , https://flatbuffers.dev/flatbuffers_guide_tutorial.html "
flex,"aces, faster, ookami",https://github.com/westes/flex,https://westes.github.io/flex/manual/,"http://alumni.cs.ucr.edu/~lgao/teaching/flex.html , https://westes.github.io/flex/manual/Common-Patterns.html#Common-Patterns "
flexiblas,"aces, delta, faster",https://www.mpi-magdeburg.mpg.de/projects/flexiblas,https://gitlab.mpi-magdeburg.mpg.de/software/flexiblas-release#documentation,https://gitlab.mpi-magdeburg.mpg.de/software/flexiblas-release/-/tree/master/examples?ref_type=heads
flit,"aces, faster",,,
fltk,"aces, faster",https://www.fltk.org/,https://fltk.gitlab.io/fltk/,"https://fltk.gitlab.io/fltk/basics.html , https://fltk.gitlab.io/fltk/examples.html "
flye,anvil,,,
fms2,ookami,https://github.com/NOAA-GFDL/FMS,https://noaa-gfdl.github.io/FMS/,"https://noaa-gfdl.github.io/FMS/autotools.html , https://noaa-gfdl.github.io/FMS/cmake.html , https://noaa-gfdl.github.io/FMS/md_TESTING.html "
foldseek,faster,,,
fontconfig,"aces, faster",https://www.freedesktop.org/wiki/Software/fontconfig/,https://fontconfig.pages.freedesktop.org/fontconfig/fontconfig-user.html,
formats,faster,,,
foss,"aces, faster",https://docs.easybuild.io/common-toolchains/#common_toolchains_foss,https://docs.easybuild.io/common-toolchains/#common_toolchains_foss,https://docs.easybuild.io/version-specific/toolchain-opts/#foss
fosscuda,"aces, faster",https://docs.easybuild.io/common-toolchains/#common_toolchains_foss,https://docs.easybuild.io/common-toolchains/#common_toolchains_foss,https://docs.easybuild.io/version-specific/toolchain-opts/#fosscuda
fq,anvil,,,
fraggenescan,anvil,,,
fraggenescanrs,anvil,,,
freebayes,"anvil, faster",,,
freeglut,"aces, faster",https://freeglut.sourceforge.net/,https://freeglut.sourceforge.net/docs/api.php,https://github.com/freeglut/freeglut/blob/master/README.cmake
freeimage,faster,,,
freeipmi,ookami,https://www.gnu.org/software/freeipmi/index.html,https://www.gnu.org/software/freeipmi/documentation.html,"https://www.gnu.org/software/freeipmi/README.build , https://www.gnu.org/software/freeipmi/freeipmi-hostrange.txt "
freesurfer,expanse,,,
freetype,"aces, faster",https://freetype.org/,https://freetype.org/freetype2/docs/reference/index.html,"https://freetype.org/freetype2/docs/tutorial/index.html , https://freetype.org/freetype2/docs/tutorial/step3.html "
freexl,"aces, faster",,,
freyja,anvil,,,
fribidi,"aces, faster, ookami",https://github.com/fribidi/fribidi,https://github.com/fribidi/fribidi?tab=readme-ov-file#api,https://github.com/fribidi/fribidi/tree/master/test
fseq,anvil,,,
fsl,faster,,,
ftp,anvil,,,
fujitsu,ookami,https://www.fujitsu.com/emeia/products/computing/servers/mainframe/bs2000/software/programming/cpp.html,https://software.fujitsu.com/jp/manual/manualindex/p22000026e.html,"https://www.stonybrook.edu/commcms/ookami/support/faq/ookami-fujitsu-compilers , https://software.fujitsu.com/jp/manual/manualfiles/m200007/j2ul2578/02enz000/j2ul-2578-02enz0.pdf"
funannotate,"anvil, bridges-2",https://github.com/nextgenusfs/funannotate,https://funannotate.readthedocs.io/en/latest/,https://funannotate.readthedocs.io/en/latest/tutorials.html
futhark,faster,,,
fwdpy11,anvil,,,
g2clib,"aces, faster",,,
g2lib,aces,,,
gadma,anvil,,,
gambit,anvil,,,
gamess,"bridges-2, expanse",https://www.msg.chem.iastate.edu/gamess/index.html,https://www.msg.chem.iastate.edu/gamess/documentation.html,https://www.msg.chem.iastate.edu/tutorials/tutorials.html
gamma,anvil,,,
gangstr,anvil,,,
gapfiller,anvil,,,
gapit,anvil,,,
gatk,"aces, anvil, bridges-2, expanse, faster",https://gatk.broadinstitute.org/hc/en-us,https://gatk.broadinstitute.org/hc/en-us/articles/21904996835867--Tool-Documentation-Index,https://gatk.broadinstitute.org/hc/en-us/sections/360007226631-Tutorials
gatk4,anvil,,,
gaussian,"bridges-2, darwin, expanse, faster",https://gaussian.com/,https://gaussian.com/man/,"https://gaussian.com/faq/ , https://www.youtube.com/GaussianInc "
gaussian09,expanse,,,
gawk,"faster, kyric",https://gaussian.com/gaussview6/,https://gaussian.com/wp-content/uploads/dl/gv6.pdf,https://gaussian.com/gv6main/
gc,"aces, faster",,,
gcatools,faster,,,
gcc,"aces, anvil, bridges-2, darwin, delta, expanse, faster, kyric, ookami, stampede3",https://gcc.gnu.org/,https://gcc.gnu.org/onlinedocs/gcc-13.2.0/gcc/,"https://gcc.gnu.org/wiki/GettingStarted , https://gcc-newbies-guide.readthedocs.io/en/latest/ , https://www.geeksforgeeks.org/gcc-command-in-linux-with-examples/ "
gcc-native,delta,,,
gcc-native-mixed,delta,,,
gcc-nvptx,expanse,,,
gcc-runtime,delta,,,
gcccore,"aces, faster",https://gcc.gnu.org/,https://gcc.gnu.org/onlinedocs/gcc-13.2.0/gcc/,"https://gcc.gnu.org/wiki/GettingStarted , https://gcc-newbies-guide.readthedocs.io/en/latest/ , https://www.geeksforgeeks.org/gcc-command-in-linux-with-examples/ "
gcccuda,"aces, faster",https://gcc.gnu.org/,https://gcc.gnu.org/onlinedocs/gcc-13.2.0/gcc/,"https://gcc.gnu.org/wiki/GettingStarted , https://gcc-newbies-guide.readthedocs.io/en/latest/ , https://www.geeksforgeeks.org/gcc-command-in-linux-with-examples/ "
gconf,"aces, faster",,,
gdal,"aces, anvil, darwin, expanse, faster",https://gdal.org/,https://gdal.org/user/index.html,"https://gdal.org/tutorials/index.html , https://pcjericks.github.io/py-gdalogr-cookbook/ "
gdb,"aces, anvil, darwin, expanse, faster, ookami",https://www.sourceware.org/gdb/,https://sourceware.org/gdb/current/onlinedocs/gdb.html/,"https://sourceware.org/gdb/current/onlinedocs/gdb.html/Sample-Session.html#Sample-Session , https://sourceware.org/gdb/wiki/ "
gdb4hpc,delta,,,
gdbm,"faster, kyric",https://www.gnu.org.ua/software/gdbm/,https://www.gnu.org.ua/software/gdbm/manual/index.html,https://www.gnu.org.ua/software/gdbm/manual/Intro.html
gdk-pixbuf,"aces, faster",https://gitlab.gnome.org/GNOME/gdk-pixbuf,https://docs.gtk.org/gdk-pixbuf/,https://docs.gtk.org/gdk-pixbuf/class.Pixbuf.html
gdrcopy,"aces, delta, faster",https://developer.nvidia.com/gdrcopy,https://github.com/NVIDIA/gdrcopy,https://github.com/NVIDIA/gdrcopy?tab=readme-ov-file#tests
geant4,aces,,,
geant4-data,aces,,,
gemma,anvil,,,
gemoma,anvil,,,
genemark,anvil,,,
genemark-es,bridges-2,http://exon.gatech.edu/GeneMark/,https://github.com/gatech-genemark/GeneMark-E-Docs/tree/main/docs,"https://github.com/gatech-genemark/GeneMark-E-Docs/blob/main/docs/usage/general.md , https://github.com/gatech-genemark/GeneMark-E-Docs/tree/main/docs/examples "
genemarks-2,anvil,,,
generativemodels,aces,,,
genmap,anvil,,,
genomedata,anvil,,,
genomepy,anvil,,,
genomescope2,anvil,,,
genomicconsensus,anvil,,,
genrich,anvil,,,
gent,bridges-2,https://www.psc.edu/resources/software/gent/,https://www.psc.edu/resources/software/gent/,
geocube,faster,,,
geomview,darwin,,,
geopandas,"aces, faster",,,
geos,"aces, anvil, darwin, expanse, faster, ookami",https://libgeos.org/,https://libgeos.org/doxygen/,"https://libgeos.org/usage/c_api/ , https://libgeos.org/usage/cpp_api/ , https://github.com/libgeos/geos/tree/main/examples "
getdist,faster,,,
gethost,ookami,,,
getorganelle,anvil,,,
gettext,"aces, bridges-2, faster, kyric",https://www.gnu.org/software/gettext/,https://www.gnu.org/software/gettext/manual/index.html,https://www.labri.fr/perso/fleury/posts/programming/a-quick-gettext-tutorial.html
gfaffix,anvil,,,
gfastats,anvil,,,
gfatools,anvil,,,
gfbf,"aces, faster",,,
gffcompare,anvil,,,
gffread,anvil,,,
gffutils,anvil,,,
gh,"delta, expanse",https://docs.github.com/en/github-cli,https://cli.github.com/manual/gh,https://docs.github.com/en/github-cli/github-cli/quickstart
ghostscript,"aces, anvil, faster",https://ghostscript.com/,https://ghostscript.readthedocs.io/en/latest/,"https://ghostscript.readthedocs.io/en/latest/Use.html , https://ghostscript.readthedocs.io/en/latest/Source.html "
giflib,"aces, faster",https://giflib.sourceforge.net/,https://giflib.sourceforge.net/gif_lib.html,https://giflib.sourceforge.net/whatsinagif/index.html
gimmemotifs,anvil,,,
git,"aces, darwin, delta, expanse, faster, kyric, ookami",https://git-scm.com/,https://git-scm.com/docs,"https://git-scm.com/docs/gittutorial , https://www.youtube.com/watch?v=HVsySz-h9r4 , https://www.atlassian.com/git/tutorials"
git-lfs,"aces, darwin, delta, expanse, faster",https://git-lfs.com/,https://github.com/git-lfs/git-lfs/tree/main/docs,"https://github.com/git-lfs/git-lfs/wiki/Tutorial , https://github.com/git-lfs/git-lfs/wiki"
gitpython,faster,,,
gklib,"aces, stampede3",,,
gl2ps,"aces, faster",https://www.geuz.org/gl2ps/,https://www.geuz.org/gl2ps/#tth_sEc2,"https://www.geuz.org/gl2ps/#tth_sEc3 , https://www.geuz.org/gl2ps/#tth_sEc4 , https://github.com/Open-Cascade-SAS/gl2ps/blob/occt-emf/gl2psTest.c "
glew,"aces, faster",,,
glfw,"aces, faster",https://www.glfw.org/,https://www.glfw.org/docs/latest/,"https://www.glfw.org/docs/latest/quick.html , https://www.glfw.org/docs/latest/intro_guide.html "
glib,"aces, faster",https://gitlab.gnome.org/GNOME/glib/,https://docs.gtk.org/glib/,"https://docs.gtk.org/glib/programming.html , https://docs.gtk.org/glib/types.html "
glib-networking,"aces, faster",,,
glibc,ookami,,,
glimmer,anvil,,,
glimmerhmm,anvil,,,
glm,"aces, delta",https://glm.g-truc.net/0.9.9/,https://glm.g-truc.net/0.9.9/api/modules.html,"https://github.com/g-truc/glm/blob/0.9.9.2/doc/manual.pdf , https://www.youtube.com/watch?v=F0vUESYIrno , https://web.engr.oregonstate.edu/~mjb/cs491/Handouts/GLM.1pp.pdf "
glnexus,anvil,,,
globalarrays,"aces, faster",,,
globus-cli,"aces, faster",,,
glpk,"aces, darwin, expanse, faster",https://www.gnu.org/software/glpk/,http://most.ccib.rutgers.edu/glpk.pdf,"https://martin-thoma.com/how-to-use-glpk/ , https://en.wikibooks.org/wiki/GLPK/Using_the_GLPK_callable_library "
gmap,anvil,,,
gmap-gsnap,expanse,,,
gmp,"aces, anvil, darwin, expanse, faster, kyric, ookami",https://gmplib.org/,https://gmplib.org/manual/,"https://gmplib.org/manual/GMP-Basics , https://gmplib.org/pi-with-gmp "
gmpy2,"aces, faster",,,
gmt,anvil,https://www.generic-mapping-tools.org/,https://docs.generic-mapping-tools.org/latest/,"https://docs.generic-mapping-tools.org/latest/tutorial.html , https://www.generic-mapping-tools.org/workshops/#past-workshops "
gnu-parallel,ookami,https://www.gnu.org/software/parallel/,https://www.gnu.org/software/parallel/sphinx.html,"https://www.gnu.org/software/parallel/parallel_tutorial.html , https://www.gnu.org/software/parallel/parallel_examples.html , https://www.gnu.org/software/parallel/parallel_cheat.pdf , https://zenodo.org/records/1146015"
gnu9,kyric,https://gcc.gnu.org/,https://gcc.gnu.org/onlinedocs/gcc-13.2.0/gcc/,"https://gcc.gnu.org/wiki/GettingStarted , https://gcc-newbies-guide.readthedocs.io/en/latest/ , https://www.geeksforgeeks.org/gcc-command-in-linux-with-examples/ "
gnuplot,"aces, anvil, darwin, delta, expanse, faster, ookami",https://gnuplot.sourceforge.net/,http://gnuplot.info/docs_5.5/Overview.html,"https://gnuplot.sourceforge.net/screenshots/index.html#demos , https://gnuplot.sourceforge.net/help.html "
gnutls,"aces, faster",,,
go,"aces, darwin, expanse, faster, kyric, ookami",https://go.dev/,https://go.dev/doc/,"https://go.dev/doc/tutorial/getting-started , https://go.dev/doc/tutorial/create-module , https://go.dev/doc/tutorial/workspaces "
go-bootstrap,kyric,https://go.dev/,https://go.dev/doc/,"https://go.dev/doc/tutorial/getting-started , https://go.dev/doc/tutorial/create-module , https://go.dev/doc/tutorial/workspaces "
goatools,anvil,,,
gobff,faster,,,
gobject-introspection,"aces, faster",https://gitlab.gnome.org/GNOME/gobject-introspection/,https://gi.readthedocs.io/en/latest/,https://gitlab.gnome.org/GNOME/gobject-introspection/-/tree/main/examples
golang,darwin,,,
gompi,"aces, faster",https://docs.easybuild.io/api/easybuild/toolchains/gompi/,,
gompic,"aces, faster",https://docs.easybuild.io/api/easybuild/toolchains/gompic/,,
googletest,"aces, faster",https://github.com/google/googletest,https://google.github.io/googletest/,https://google.github.io/googletest/primer.html
gpaw,anvil,https://gitlab.com/gpaw/gpaw,https://wiki.fysik.dtu.dk/gpaw/documentation/documentation.html,"https://wiki.fysik.dtu.dk/gpaw/tutorialsexercises/tutorialsexercises.html , https://wiki.fysik.dtu.dk/gpaw/documentation/basic.html "
gperf,"aces, faster, ookami",https://www.gnu.org/software/gperf/,https://www.gnu.org/software/gperf/manual/gperf.html,"https://developer.ibm.com/tutorials/l-gperf/ , https://www.math.utah.edu/docs/info/gperf_5.html "
gperftools,"aces, faster, ookami",https://github.com/gperftools/gperftools,https://github.com/gperftools/gperftools/wiki#documentation,"https://github.com/gperftools/gperftools/wiki#example , https://developer.ridgerun.com/wiki/index.php/Profiling_with_GPerfTools "
gpflow,"aces, faster",,,
gpu,expanse,,,
gpustat,"aces, faster",https://github.com/wookayin/gpustat,https://github.com/wookayin/gpustat#usage,https://github.com/wookayin/gpustat#tips
gpy,faster,,,
gpytorch,faster,,,
graalvm,faster,,,
grace,expanse,,,
gradle,faster,,,
grads,anvil,,,
graphblas,aces,,,
graphene,"aces, faster",https://ebassi.github.io/graphene/,https://ebassi.github.io/graphene/docs/,https://github.com/ebassi/graphene/wiki/Using-Graphene-from-Python
graphicsmagick,"aces, faster",http://www.graphicsmagick.org/,http://www.graphicsmagick.org/GraphicsMagick.html,"http://www.graphicsmagick.org/programming.html , https://www.tutorialspoint.com/graphicsmagick-a-powerful-image-processing-cli-tool-for-linux , https://www.tecmint.com/graphicsmagick-image-processing-cli-tool-for-linux/ "
graphite2,"aces, faster",https://graphite.sil.org/,https://graphite.sil.org/assets/resources/GDL.pdf,https://graphite.sil.org/graide_tutorial
graphlan,anvil,,,
graphmap,anvil,,,
graphviz,"aces, expanse, faster",,,
graphviz-python,aces,,,
grass,"aces, faster",,,
greenlet,aces,https://github.com/python-greenlet/greenlet,https://greenlet.readthedocs.io/en/latest/,"https://greenlet.readthedocs.io/en/latest/greenlet.html , https://greenlet.readthedocs.io/en/latest/gui_example.html#gui-example"
gridss,anvil,,,
groff,"aces, faster",https://www.gnu.org/software/groff/,https://www.gnu.org/software/groff/manual/groff.html.node/index.html,"https://www.gnu.org/software/groff/manual/groff.html.node/Introduction.html , https://www.gnu.org/software/groff/manual/groff.html.node/Basics.html , https://www.systutorials.com/docs/linux/man/7-groff/"
gromacs,"aces, anvil, bridges-2, darwin, delta, expanse, faster, kyric, ookami, stampede3",https://www.gromacs.org/,https://manual.gromacs.org/current/index.html,"https://tutorials.gromacs.org/ , https://www.gromacs.org/workshop.html , https://www.gromacs.org/tutorial_webinar.html "
grpc,faster,,,
gsd-vmd,faster,,,
gseapy,anvil,,,
gsl,"aces, anvil, darwin, delta, expanse, faster, stampede3",https://www.gnu.org/software/gsl/,https://www.gnu.org/software/gsl/doc/html/index.html,"https://www.gnu.org/software/gsl/doc/html/usage.html , https://www.gnu.org/software/gsl/doc/html/err.html#examples , https://www.gnu.org/software/gsl/doc/html/linalg.html#examples "
gslib,"aces, faster",,,
gst-plugins-bad,"aces, faster",https://gstreamer.freedesktop.org/modules/gst-plugins-bad.html,https://gitlab.freedesktop.org/gstreamer/gstreamer/-/tree/main/subprojects/gst-plugins-bad/docs,"https://gstreamer.freedesktop.org/documentation/tutorials/basic/index.html?gi-language=c , https://gstreamer.freedesktop.org/documentation/tutorials/table-of-concepts.html?gi-language=c , https://gstreamer.freedesktop.org/documentation/tutorials/index.html?gi-language=c "
gst-plugins-base,"aces, faster",https://gstreamer.freedesktop.org/modules/gst-plugins-base.html,https://gitlab.freedesktop.org/gstreamer/gstreamer/-/tree/main/subprojects/gst-plugins-base/docs,"https://gstreamer.freedesktop.org/documentation/tutorials/basic/index.html?gi-language=c , https://gstreamer.freedesktop.org/documentation/tutorials/table-of-concepts.html?gi-language=c , https://gstreamer.freedesktop.org/documentation/tutorials/index.html?gi-language=c "
gstreamer,"aces, anvil, faster",https://gstreamer.freedesktop.org/,https://gstreamer.freedesktop.org/documentation/,"https://gstreamer.freedesktop.org/documentation/tutorials/basic/index.html?gi-language=c , https://gstreamer.freedesktop.org/documentation/tutorials/table-of-concepts.html?gi-language=c , https://gstreamer.freedesktop.org/documentation/tutorials/index.html?gi-language=c "
gtdbtk,anvil,,,
gthumb,delta,,,
gtk+,faster,,,
gtk2,"aces, faster",https://www.gtk.org/,https://developer-old.gnome.org/gtk2/stable/index.html,"https://www.gtk.org/docs/getting-started/hello-world/ , https://www.gtk.org/docs/getting-started/ , https://www.gtk.org/docs/language-bindings/python/ "
gtk3,"aces, faster",https://www.gtk.org/,https://docs.gtk.org/gtk3/,"https://www.gtk.org/docs/getting-started/hello-world/ , https://www.gtk.org/docs/getting-started/ , https://www.gtk.org/docs/language-bindings/python/ "
gtk4,"aces, faster",https://www.gtk.org/,https://docs.gtk.org/gtk4/,"https://www.gtk.org/docs/getting-started/hello-world/ , https://www.gtk.org/docs/getting-started/ , https://www.gtk.org/docs/language-bindings/python/ "
gts,"aces, faster",https://gts.sourceforge.net/,https://gts.sourceforge.net/reference/book1.html,"https://github.com/lsaavedr/gts/tree/master/examples , https://gts.sourceforge.net/samples.html "
gubbins,anvil,,,
guile,"aces, faster",,,
guppy,"anvil, bridges-2",https://community.nanoporetech.com/docs/prepare/library_prep_protocols/Guppy-protocol/v/gpb_2003_v1_revax_14dec2018/guppy-software-overview,https://community.nanoporetech.com/docs/prepare/library_prep_protocols/Guppy-protocol/v/gpb_2003_v1_revax_14dec2018/expert-settings,https://community.nanoporetech.com/docs/prepare/library_prep_protocols/Guppy-protocol/v/gpb_2003_v1_revax_14dec2018/setting-up-a-run-configurations-and-parameters
guppy-gpu,bridges-2,,,
gurobi,"anvil, bridges-2, delta",https://www.gurobi.com/,https://www.gurobi.com/documentation/,"https://www.gurobi.com/documentation/current/examples/index.html , https://support.gurobi.com/hc/en-us/articles/13444017491857-How-do-I-use-the-Gurobi-Command-Line-Interface-gurobi-cl , https://support.gurobi.com/hc/en-us/articles/14165975461393-Tutorials-Getting-Started-with-the-Gurobi-APIs "
gurobi-dev,delta,,,
gymnasium,faster,,,
gzip,"aces, faster",https://www.gnu.org/software/gzip/,https://www.gnu.org/software/gzip/manual/gzip.html,"https://www.gnu.org/software/gzip/manual/gzip.html#Sample , https://www.gnu.org/software/gzip/manual/gzip.html#Invoking-gzip , https://www.youtube.com/watch?v=NLtt4S9ErIA"
h5py,"aces, faster",https://www.h5py.org/,https://docs.h5py.org/en/stable/,"https://docs.h5py.org/en/stable/quick.html#core-concepts , https://docs.h5py.org/en/stable/high/file.html#opening-creating-files"
hadoop,"anvil, expanse",https://hadoop.apache.org/,https://apache.github.io/hadoop/,"https://hadoop.apache.org/docs/current/hadoop-project-dist/hadoop-common/UnixShellGuide.html , https://hadoop.apache.org/docs/current/hadoop-project-dist/hadoop-hdfs/HdfsUserGuide.html ,  https://www.tutorialspoint.com/hadoop/index.htm"
hail,anvil,,,
hap.py,anvil,,,
harfbuzz,"aces, faster, ookami",https://github.com/harfbuzz/harfbuzz,https://harfbuzz.github.io/,"https://harfbuzz.github.io/getting-started.html , https://harfbuzz.github.io/a-simple-shaping-example.html"
hashdeep,bridges-2,https://github.com/jessek/hashdeep,https://md5deep.sourceforge.net/hashdeep.html,"https://md5deep.sourceforge.net/start-hashdeep.html , https://github.com/jessek/hashdeep/blob/master/doc/start-hashdeep.html "
hatchling,"aces, faster",,,
hdbscan,faster,,,
hdf,"aces, anvil, expanse, faster",https://portal.hdfgroup.org/hdf4/,https://portal.hdfgroup.org/documentation/hdf4-docs/HDF4_Reference_Manual.pdf,https://portal.hdfgroup.org/documentation/hdf4-docs/HDF4_Users_Guide.pdf
hdf-eos,aces,,,
hdf-eos5,aces,,,
hdf4,darwin,,,
hdf5,"aces, anvil, bridges-2, darwin, delta, expanse, faster, ookami, stampede3",https://www.hdfgroup.org/solutions/hdf5/,https://docs.hdfgroup.org/hdf5/develop/,"https://docs.hdfgroup.org/hdf5/develop/_getting_started.html , https://docs.hdfgroup.org/hdf5/develop/_u_g.html "
helen,anvil,,,
help2man,"aces, faster",https://www.gnu.org/software/help2man/,https://www.gnu.org/software/help2man/,https://www.gnu.org/software/help2man/help2man.html#Example
hh-suite,"aces, faster",https://github.com/soedinglab/hh-suite,https://github.com/soedinglab/hh-suite/wiki#summary-of-command-line-parameters,https://github.com/soedinglab/hh-suite/wiki#brief-tutorial-to-hhsuite-tools
hic-pro,anvil,,,
hicexplorer,anvil,,,
hifiasm,"anvil, faster",,,
highway,"aces, faster",https://github.com/google/highway,https://google.github.io/highway/en/master/,"https://google.github.io/highway/en/master/README.html#examples , https://google.github.io/highway/en/master/README.html#quick-start "
hipify-clang,faster,,,
hipsycl,faster,,,
hiredis,"aces, faster",https://redis.io/lp/hiredis/,https://github.com/redis/hiredis,"https://github.com/redis/hiredis/blob/master/examples/example.c , https://github.com/redis/hiredis/tree/master/examples"
