Software,RP Name,Software Type,Software Class,Research Area,Research Discipline,Software Description,Software's Web Page,Software Documentation,Example Software Use,RP Software Documentation,Version Info
genemark-es,Bridges-2,,Bioinformatics,Sciences,Biology,"Novel eukaryotic genomes can be analyzed by the self-training GeneMark-ES. 
Description Source: http://exon.gatech.edu/GeneMark/",http://exon.gatech.edu/GeneMark/,https://github.com/gatech-genemark/GeneMark-E-Docs/tree/main/docs,"https://github.com/gatech-genemark/GeneMark-E-Docs/blob/main/docs/usage/general.md 
https://github.com/gatech-genemark/GeneMark-E-Docs/tree/main/docs/examples ",Bridges-2: https://www.psc.edu/resources/software/genemark-es,Bridges-2: 4.65
genemarks-2,Anvil,,,,,GeneMarkS-2 combines GeneMark.hmm (prokaryotic) and GeneMark (prokaryotic) with a self-training procedure that determines parameters of the models of both GeneMark.hmm and GeneMark.,,,,Anvil: https://www.rcac.purdue.edu/software/genemarks-2,Anvil: 1.14_1.25
generativemodels,Aces,,,,,"Project MONAI is a set of open-source, freely available collaborative frameworks built for accelerating research and clinical collaboration in Medical Imaging. The goal is to accelerate the pace of innovation and clinical translation by building a robust software framework that benefits nearly every level of medical imaging, deep learning research, and deployment.",,,,Aces: https://hprc.tamu.edu/software/aces/,Aces: 0.2.1-Cuda-11.7.0
genmap,Anvil,,,,,GenMap: Ultra-fast Computation of Genome Mappability.,,,,Anvil: https://www.rcac.purdue.edu/software/genmap,Anvil: 1.3.0
genomedata,Anvil,,,,,Genomedata is a format for efficient storage of multiple tracks of numeric data anchored to a genome.,,,,Anvil: https://www.rcac.purdue.edu/software/genomedata,Anvil: 1.5.0
genomepy,Anvil,,,,,Genomepy is designed to provide a simple and straightforward way to download and use genomic data.,,,,Anvil: https://www.rcac.purdue.edu/software/genomepy,"Anvil: 0.12.0, 0.14.0"
genomescope2,Anvil,,,,,Genomescope2: Reference-free profiling of polyploid genomes,,,,Anvil: https://www.rcac.purdue.edu/software/genomescope2,Anvil: 2.0
genomicconsensus,Anvil,,,,,Genomicconsensus is the current PacBio consensus and variant calling suite.,,,,Anvil: https://www.rcac.purdue.edu/software/genomicconsensus,Anvil: 2.3.3
genrich,Anvil,,,,,"Genrich is a peak-caller for genomic enrichment assays (e.g. ChIP-seq, ATAC-seq). It analyzes alignment files generated following the assay and produces a file detailing peaks of significant enrichment.",,,,Anvil: https://www.rcac.purdue.edu/software/genrich,Anvil: 0.6.1
gent,Bridges-2,,,,,"GeNT is a FORTRAN program that computes the cross entropy for groups of sequences that have been assigned to groups on the basis of biochemical,physiological, or other biological property. The sequence assignments are cross-validated, again by the cross entropy measure, to check for problems with the alignment or group assignment. Sequences that were initially identified as “unclassified” are compared to all of the groups using position specific log-odds scores as described by Henikoff and Henikoff. Positions in the aligned sequences that are important for determining group membership are identified by having a high entropy for the entire alignment and a high entropy for one or more specific groups. 
Description Source: https://www.psc.edu/resources/software/gent/",https://www.psc.edu/resources/software/gent/,https://www.psc.edu/resources/software/gent/,,Bridges-2: https://www.psc.edu/resources/software/gent,Bridges-2: 1.0.0
geocube,Faster,,,,,,,,,Faster: https://hprc.tamu.edu/software/faster/,Faster: 0.0.14-Python-3.8.2
geomview,Darwin,,,,,,,,,,
geopandas,"Aces, Faster",,,,,GeoPandas is a project to add support for geographic data to pandas objects. It currently implements GeoSeries and GeoDataFrame types which are subclasses of pandas.Series and pandas.DataFrame respectively. GeoPandas objects can act on shapely geometry objects and perform geometric operations.,,,,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 0.12.2
Faster: 0.8.1-Python-3.8.2"
geos,"Aces, Anvil, Darwin, Expanse, Faster, Ookami",Library,Mathematics,,,"GEOS is a C/C++ library for computational geometry with a focus on algorithms used in geographic information systems (GIS) software. It implements the OGC Simple Features geometry model and provides all the spatial functions in that standard as well as many others. 
Description Source: https://libgeos.org/",https://libgeos.org/,https://libgeos.org/doxygen/,"https://libgeos.org/usage/c_api/ 
https://libgeos.org/usage/cpp_api/ 
https://github.com/libgeos/geos/tree/main/examples ","Aces: https://hprc.tamu.edu/software/aces/ 
Anvil: https://www.rcac.purdue.edu/software/geos 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules 
Faster: https://hprc.tamu.edu/software/faster/ 
Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami","Aces: 3.9.1, 3.10.3, 3.11.1, 3.12.0
Anvil: 3.8.1, 3.9.1
Expanse: Ad5Oco3
Faster: 3.8.1-Python-3.8.2, 3.9.1, 3.10.3, 3.11.1, 3.12.0"
getdist,Faster,,,,,,,,,Faster: https://hprc.tamu.edu/software/faster/,Faster: 1.4
gethost,Ookami,,,,,,,,,Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami,
getorganelle,Anvil,,,,,Getorganelle is a fast and versatile toolkit for accurate de novo assembly of organelle genomes.,,,,Anvil: https://www.rcac.purdue.edu/software/getorganelle,Anvil: 1.7.7.0
gettext,"Aces, Bridges-2, Faster, Kyric",,,,,"Gettext is a software framework used for internationalization and localization of software applications, allowing them to be translated into multiple languages. It provides tools for developers to extract strings from their code, create and manage translation files, and compile these files into formats that can be used by the application to display the translated text, thereby making the software accessible to a global audience.",https://www.gnu.org/software/gettext/,https://www.gnu.org/software/gettext/manual/index.html,https://www.labri.fr/perso/fleury/posts/programming/a-quick-gettext-tutorial.html,"Aces: https://hprc.tamu.edu/software/aces/ 
Bridges-2: https://www.psc.edu/resources/software/gettext 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 0.21, 0.21.1, 0.22
Bridges-2: 0.22.5-Gcc13.2.1-P20240113
Faster: 0.19.8.1, 0.20.1, 0.21, 0.21.1, 0.22"
gfaffix,Anvil,,,,,GFAffix identifies walk-preserving shared affixes in variation graphs and collapses them into a non-redundant graph structure.,,,,Anvil: https://www.rcac.purdue.edu/software/gfaffix,Anvil: 0.1.4
gfastats,Anvil,,,,,"gfastats is a single fast and exhaustive tool for summary statistics and simultaneous *fa* (fasta, fastq, gfa [.gz]) genome assembly file manipulation.",,,,Anvil: https://www.rcac.purdue.edu/software/gfastats,"Anvil: 1.2.3, 1.3.6"
gfatools,Anvil,,,,,"gfatools is a set of tools for manipulating sequence graphs in the GFA or the rGFA format. It has implemented parsing, subgraph and conversion to FASTA/BED.",,,,Anvil: https://www.rcac.purdue.edu/software/gfatools,Anvil: 0.5
gfbf,"Aces, Faster",,,,,"GNU Compiler Collection (GCC) based compiler toolchain, including FlexiBLAS (BLAS and LAPACK support) and (serial) FFTW.",,,,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 2022A, 2022B, 2023A, 2023B, 2023.09
Faster: 2022A, 2022B, 2023A"
gffcompare,Anvil,,,,,"Gffcompare is used to compare, merge, annotate and estimate accuracy of one or more GFF files.",,,,Anvil: https://www.rcac.purdue.edu/software/gffcompare,Anvil: 0.11.2
gffread,Anvil,,,,,"Gffread is used to validate, filter, convert and perform various other operations on GFF files.",,,,Anvil: https://www.rcac.purdue.edu/software/gffread,Anvil: 0.12.7
gffutils,Anvil,,,,,gffutils is a Python package for working with and manipulating the GFF and GTF format files typically used for genomic annotations.,,,,Anvil: https://www.rcac.purdue.edu/software/gffutils,Anvil: 0.11.1
gh,"Delta, Expanse",,,,,,https://docs.github.com/en/github-cli,https://cli.github.com/manual/gh,https://docs.github.com/en/github-cli/github-cli/quickstart,"Delta: https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/software.html 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules","Delta: 2.32.1
Expanse: Eytgnon, Mkz3Uxl"
ghostscript,"Aces, Anvil, Faster",Application,,,,"Ghostscript is an interpreter for the PostScript®  language and PDF files. It is available under either the GNU GPL Affero license or  licensed for commercial use from Artifex Software, Inc. Ghostscript consists of a PostScript interpreter layer and a graphics library. 
Description Source: https://ghostscript.com/",https://ghostscript.com/,https://ghostscript.readthedocs.io/en/latest/,"https://ghostscript.readthedocs.io/en/latest/Use.html 
https://ghostscript.readthedocs.io/en/latest/Source.html ","Aces: https://hprc.tamu.edu/software/aces/ 
Anvil: https://www.rcac.purdue.edu/software/ghostscript 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 9.54.0, 9.56.1, 10.0.0, 10.01.2
Anvil: 9.56.1
Faster: 9.52, 9.53.3, 9.54.0, 9.56.1, 10.0.0, 10.01.2"
giflib,"Aces, Faster",Package,,,,"Giflib is a software package designed for reading and writing GIF (Graphics Interchange Format) images. It provides a set of utilities for processing GIFs, including conversion to and from various formats, making it a valuable tool for developers working with GIF animations and image processing in applications or web services.",https://giflib.sourceforge.net/,https://giflib.sourceforge.net/gif_lib.html,https://giflib.sourceforge.net/whatsinagif/index.html,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 5.2.1
Faster: 5.2.1"
gimmemotifs,Anvil,,,,,"GimmeMotifs is a suite of motif tools, including a motif prediction pipeline for ChIP-seq experiments.",,,,Anvil: https://www.rcac.purdue.edu/software/gimmemotifs,Anvil: 0.17.1
git,"Aces, Darwin, Delta, Expanse, Faster, Kyric, Ookami",Service,Utilties,,,"Git is a distributed version control system, widely used for tracking changes in source code during software development. It allows multiple developers to work collaboratively on a project, providing tools for managing versions, resolving conflicts, and maintaining a history of changes made to the codebase.",https://git-scm.com/,https://git-scm.com/docs,"https://git-scm.com/docs/gittutorial 
https://www.youtube.com/watch?v=HVsySz-h9r4 
https://www.atlassian.com/git/tutorials","Aces: https://hprc.tamu.edu/software/aces/ 
Delta: https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/software.html 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules 
Faster: https://hprc.tamu.edu/software/faster/ 
Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami","Aces: 2.28.0-Nodocs, 2.32.0-Nodocs, 2.33.1-Nodocs, 2.36.0-Nodocs, 2.38.1-Nodocs, 2.41.0-Nodocs, 2.42.0
Delta: 2.39.3
Expanse: Darghpu, Ldetm5Y
Faster: 2.23.0-Nodocs, 2.28.0-Nodocs, 2.32.0-Nodocs, 2.33.1-Nodocs, 2.36.0-Nodocs, 2.38.1-Nodocs, 2.41.0-Nodocs"
git-lfs,"Aces, Darwin, Delta, Expanse, Faster",,Utilties,,,"Git Large File Storage (LFS) replaces large files such as audio samples, videos, datasets, and graphics with text pointers inside Git, while storing the file contents on a remote server like GitHub.com or GitHub Enterprise.",https://git-lfs.com/,https://github.com/git-lfs/git-lfs/tree/main/docs,"https://github.com/git-lfs/git-lfs/wiki/Tutorial 
https://github.com/git-lfs/git-lfs/wiki","Aces: https://hprc.tamu.edu/software/aces/ 
Delta: https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/software.html 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 3.2.0, 3.3.0
Delta: 3.3.0
Expanse: Kmruniy, 32Gm6Hi
Faster: 3.2.0, 3.4.0"
gitpython,Faster,,,,,,,,,Faster: https://hprc.tamu.edu/software/faster/,Faster: 3.1.27
gklib,"Aces, Stampede3",,,,,A library of various helper routines and frameworks used by Karypis Lab software such as METIS.,,,,"Aces: https://hprc.tamu.edu/software/aces/ 
Stampede3: https://tacc.utexas.edu/use-tacc/software-list/","Aces: 5.1.1, 20231211, 20240119, 20240321, 20240329"
gl2ps,"Aces, Faster",Library,,,,"GL2PS is a C library providing high quality vector output for any OpenGL application. The main difference between GL2PS and other similar libraries is the use of sorting algorithms capable of handling intersecting and stretched polygons, as well as non manifold objects. GL2PS provides advanced smooth shading and text rendering, culling of invisible primitives, mixed vector/bitmap output, and much more... 
Description Source: https://www.geuz.org/gl2ps/",https://www.geuz.org/gl2ps/,https://www.geuz.org/gl2ps/#tth_sEc2,"https://www.geuz.org/gl2ps/#tth_sEc3 
https://www.geuz.org/gl2ps/#tth_sEc4 
https://github.com/Open-Cascade-SAS/gl2ps/blob/occt-emf/gl2psTest.c ","Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 1.4.2
Faster: 1.4.2"
glew,"Aces, Faster",,,,,The OpenGL Extension Wrangler Library (GLEW) is a cross-platform open-source C/C++ extension loading library. GLEW provides efficient run-time mechanisms for determining which OpenGL extensions are supported on the target platform.,,,,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 2.2.0-Egl
Faster: 2.2.0-Egl, 2.2.0-Osmesa"
glfw,"Aces, Faster",Library,,,,"GLFW is an Open Source, multi-platform library for OpenGL, OpenGL ES and Vulkan development on the desktop. It provides a simple API for creating windows, contexts and surfaces, receiving input and events. 
Description Source: https://www.glfw.org/",https://www.glfw.org/,https://www.glfw.org/docs/latest/,"https://www.glfw.org/docs/latest/quick.html 
https://www.glfw.org/docs/latest/intro_guide.html ","Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 3.3.8
Faster: 3.3.4, 3.3.8"
glib,"Aces, Faster",Library,,,,"GLib is a general-purpose, portable utility library, which provides many useful data types, macros, type conversions, string utilities, file utilities, a mainloop abstraction, and so on. It is one of the base libraries of GTK+. 
Description Source: https://docs.gtk.org/glib/",https://gitlab.gnome.org/GNOME/glib/,https://docs.gtk.org/glib/,"https://docs.gtk.org/glib/programming.html 
https://docs.gtk.org/glib/types.html ","Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 2.66.1, 2.68.2, 2.69.1, 2.72.1, 2.75.0, 2.77.1
Faster: 2.62.0, 2.64.1, 2.66.1, 2.68.2, 2.69.1, 2.72.1, 2.75.0, 2.77.1"
glib-networking,"Aces, Faster",,,,,Network extensions for GLib,,,,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 2.72.1
Faster: 2.72.1"
glibc,Ookami,,,,,,,,,Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami,
glimmer,Anvil,,,,,"Glimmer is system for finding genes in microbial DNA, especially the genomes of bacteria, archaea, and viruses.",,,,Anvil: https://www.rcac.purdue.edu/software/glimmer,Anvil: 3.02
glimmerhmm,Anvil,,,,,Glimmerhmm is a new gene finder based on a Generalized Hidden Markov Model.,,,,Anvil: https://www.rcac.purdue.edu/software/glimmerhmm,Anvil: 3.0.4
glm,"Aces, Delta",Library,,,,"The GLM (OpenGL Mathematics) library is a header-only C++ library designed for graphics software development, providing a wide range of mathematical structures and functions. Inspired by the syntax and conventions of GLSL (OpenGL Shading Language), GLM is particularly useful for OpenGL applications, offering functionality for vectors, matrices, and other complex mathematical operations needed in 3D graphics programming.",https://glm.g-truc.net/0.9.9/,https://glm.g-truc.net/0.9.9/api/modules.html,"https://github.com/g-truc/glm/blob/0.9.9.2/doc/manual.pdf 
https://www.youtube.com/watch?v=F0vUESYIrno 
https://web.engr.oregonstate.edu/~mjb/cs491/Handouts/GLM.1pp.pdf ","Aces: https://hprc.tamu.edu/software/aces/ 
Delta: https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/software.html","Aces: 0.9.9.8
Delta: 0.9.9.8"
glnexus,Anvil,,,,,Glnexus: Scalable gVCF merging and joint variant calling for population sequencing projects.,,,,Anvil: https://www.rcac.purdue.edu/software/glnexus,Anvil: 1.4.1
globalarrays,"Aces, Faster",,,,,Global Arrays (GA) is a Partitioned Global Address Space (PGAS) programming model,,,,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 5.8.2
Faster: 5.8, 5.8.2"
globus-cli,"Aces, Faster",,,,,"A Command Line Wrapper over the Globus SDK for Python, which provides an interface to Globus services from the shell, and is suited to both interactive and simple scripting use cases.",,,,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 3.6.0
Faster: 3.6.0"
glpk,"Aces, Darwin, Expanse, Faster",Package,,,,"The GLPK (GNU Linear Programming Kit) package is intended for solving large-scale linear programming (LP), mixed integer programming (MIP), and other related problems. It is a set of routines written in ANSI C and organized in the form of a callable library. 
Description Source: https://www.gnu.org/software/glpk/",https://www.gnu.org/software/glpk/,http://most.ccib.rutgers.edu/glpk.pdf,"https://martin-thoma.com/how-to-use-glpk/ 
https://en.wikibooks.org/wiki/GLPK/Using_the_GLPK_callable_library ","Aces: https://hprc.tamu.edu/software/aces/ 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 5.0
Expanse: 2266Fla
Faster: 4.65, 5.0"
gmap,Anvil,,,,,Gmap is a genomic mapping and alignment program for mRNA and EST sequences.,,,,Anvil: https://www.rcac.purdue.edu/software/gmap,"Anvil: 2021.05.27, 2021.08.25"
gmap-gsnap,Expanse,,,,,,,,,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,Expanse: 2020-06-01
gmp,"Aces, Anvil, Darwin, Expanse, Faster, Kyric, Ookami",Library,,,,"GNU MP is a portable library written in C for arbitrary precision arithmetic on integers, rational numbers, and floating-point numbers. It aims to provide the fastest possible arithmetic for all applications that need higher precision than is directly supported by the basic C types. 
Description Source: https://gmplib.org/manual/Introduction-to-GMP",https://gmplib.org/,https://gmplib.org/manual/,"https://gmplib.org/manual/GMP-Basics 
https://gmplib.org/pi-with-gmp ","Aces: https://hprc.tamu.edu/software/aces/ 
Anvil: https://www.rcac.purdue.edu/software/gmp 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules 
Faster: https://hprc.tamu.edu/software/faster/ 
Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami","Aces: 6.2.0, 6.2.1, 6.3.0
Anvil: 6.2.1
Expanse: 6.1.2
Faster: 6.1.2, 6.2.0, 6.2.1"
gmpy2,"Aces, Faster",,,,,"GMP/MPIR, MPFR, and MPC interface to Python 2.6+ and 3.x",,,,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 2.1.2, 2.1.5
Faster: 2.1.0B4, 2.1.2, 2.1.5"
gmt,Anvil,,,,,"GMT is a collection of freely available command-line tools under the GNU LGPL that allows you to manipulate x, y and x, y, z data sets (filtering, trend fitting, gridding, projecting, etc.) and produce illustrations ranging from simple x-y plots, via contour maps, to artificially illuminated surfaces and 3-D perspective views in black/white or full color. 
Description Source: https://docs.generic-mapping-tools.org/latest/gmt.html",https://www.generic-mapping-tools.org/,https://docs.generic-mapping-tools.org/latest/,"https://docs.generic-mapping-tools.org/latest/tutorial.html 
https://www.generic-mapping-tools.org/workshops/#past-workshops ",Anvil: https://www.rcac.purdue.edu/software/gmt,Anvil: 6.1.0
gnu-parallel,Ookami,,,,,"GNU parallel is a shell tool for executing jobs in parallel using one or more computers. A job can be a single command or a small script that has to be run for each of the lines in the input. The typical input is a list of files, a list of hosts, a list of users, a list of URLs, or a list of tables. A job can also be a command that reads from a pipe. GNU parallel can then split the input and pipe it into commands in parallel. 
Description Source:  https://www.gnu.org/software/parallel/",https://www.gnu.org/software/parallel/,https://www.gnu.org/software/parallel/sphinx.html,"https://www.gnu.org/software/parallel/parallel_tutorial.html 
https://www.gnu.org/software/parallel/parallel_examples.html 
https://www.gnu.org/software/parallel/parallel_cheat.pdf 
https://zenodo.org/records/1146015",Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami,
gnu9,Kyric,,Compiler,,,,https://gcc.gnu.org/,https://gcc.gnu.org/onlinedocs/gcc-13.2.0/gcc/,"https://gcc.gnu.org/wiki/GettingStarted 
https://gcc-newbies-guide.readthedocs.io/en/latest/ 
https://www.geeksforgeeks.org/gcc-command-in-linux-with-examples/ ",,Kyric: 9.3.0
gnuplot,"Aces, Anvil, Darwin, Delta, Expanse, Faster, Ookami",Application,"Modeling, Mathematics",Engineering,,"gnuplot is a command-driven plotting program. It can be used interactively to plot functions and data points in both two- and three-dimensional plots in many different styles and many different output formats. Gnuplot can also be used as a scripting language to automate generation of plots. 
Description Source: http://www.gnuplot.info/faq/#x1-60001.1",https://gnuplot.sourceforge.net/,http://gnuplot.info/docs_5.5/Overview.html,"https://gnuplot.sourceforge.net/screenshots/index.html#demos 
https://gnuplot.sourceforge.net/help.html ","Aces: https://hprc.tamu.edu/software/aces/ 
Anvil: https://www.rcac.purdue.edu/software/gnuplot 
Delta: https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/software.html 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules 
Faster: https://hprc.tamu.edu/software/faster/ 
Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami","Aces: 5.4.4, 5.4.6, 5.4.8
Anvil: 5.4.2
Delta: 5.4.3
Expanse: Lfaey6L, Mfinpvw
Faster: 5.2.8, 5.4.1, 5.4.2, 5.4.4"
gnutls,"Aces, Faster",,,,,"GnuTLS is a secure communications library implementing the SSL, TLS and DTLS protocols and technologies around them. It provides a simple C language application programming interface (API) to access the secure communications protocols as well as APIs to parse and write X.509, PKCS #12, OpenPGP and other required structures. It is aimed to be portable and efficient with focus on security and interoperability.",,,,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 3.7.3
Faster: 3.7.3"
go,"Aces, Darwin, Expanse, Faster, Kyric, Ookami",,Programming Language,,,"Go is expressive, concise, clean, and efficient. Its concurrency mechanisms make it easy to write programs that get the most out of multicore and networked machines, while its novel type system enables flexible and modular program construction. Go compiles quickly to machine code yet has the convenience of garbage collection and the power of run-time reflection. It's a fast, statically typed, compiled language that feels like a dynamically typed, interpreted language. 
Description Source: https://go.dev/doc/",https://go.dev/,https://go.dev/doc/,"https://go.dev/doc/tutorial/getting-started 
https://go.dev/doc/tutorial/create-module 
https://go.dev/doc/tutorial/workspaces ","Aces: https://hprc.tamu.edu/software/aces/ 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules 
Faster: https://hprc.tamu.edu/software/faster/ 
Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami","Aces: 1.18.3
Expanse: 1.15.1
Faster: 1.17.6, 1.18.3, 1.19.1, 1.20.5, 1.21.2"
go-bootstrap,Kyric,,Programming Language,,,,https://go.dev/,https://go.dev/doc/,"https://go.dev/doc/tutorial/getting-started 
https://go.dev/doc/tutorial/create-module 
https://go.dev/doc/tutorial/workspaces ",,
goatools,Anvil,,,,,Goatools is a Python library for Gene Ontology analyses.,,,,Anvil: https://www.rcac.purdue.edu/software/goatools,"Anvil: 1.1.12, 1.2.3"
gobff,Faster,,,,,,,,,Faster: https://hprc.tamu.edu/software/faster/,"Faster: 2020B, 2021A"
gobject-introspection,"Aces, Faster",,,,,"GObject introspection is a middleware layer between C libraries (using GObject) and language bindings. The C library can be scanned at compile time and generate metadata files, in addition to the actual native C library. Then language bindings can read this metadata and automatically provide bindings to call into the C library. 
Description Source: https://gi.readthedocs.io/en/latest/",https://gitlab.gnome.org/GNOME/gobject-introspection/,https://gi.readthedocs.io/en/latest/,https://gitlab.gnome.org/GNOME/gobject-introspection/-/tree/main/examples,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 1.68.0, 1.72.0, 1.74.0, 1.76.1
Faster: 1.63.1-Python-3.7.4, 1.64.0-Python-3.8.2, 1.66.1, ..."
golang,Darwin,,,,,,,,,,
gompi,"Aces, Faster",,,,,"Gompi is a software toolchain that combines the GNU Compiler Collection (GCC) for compiling software, OpenMPI for supporting parallel computing that requires message passing, and other essential libraries and tools for scientific computing. It is designed to facilitate the development and execution of high-performance computing (HPC) applications, especially those requiring robust parallel processing capabilities across clusters and grids.",https://docs.easybuild.io/api/easybuild/toolchains/gompi/,,,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 2020B, 2021A, 2021B, 2022A, 2022B, 2023A, 2023B, 2023.05, 2023.09
Faster: 2018B, 2019B, 2020A, 2020B, 2021A, 2021B, 2022A, 2022B, 2022.05, 2023A, 2023B"
gompic,"Aces, Faster",,,,,"GNU Compiler Collection (GCC) based compiler toolchain along with CUDA toolkit, including OpenMPI for MPI support with CUDA features enabled. 
Description Source: https://hprc.tamu.edu/software/aces/",https://docs.easybuild.io/api/easybuild/toolchains/gompic/,,,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 2020B
Faster: 2019B, 2020A, 2020B"
googletest,"Aces, Faster",,,,,"GoogleTest is Google’s C++ testing and mocking framework. 
Description Source: https://google.github.io/googletest/",https://github.com/google/googletest,https://google.github.io/googletest/,https://google.github.io/googletest/primer.html,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 1.11.0, 1.12.1, 1.13.0
Faster: 1.10.0, 1.11.0, 1.12.1, 1.13.0"
gpaw,Anvil,,,,,GPAW is a density-functional theory (DFT) Python code based on the projector-augmented wave (PAW) method and the atomic simulation environment (ASE).,https://gitlab.com/gpaw/gpaw,https://wiki.fysik.dtu.dk/gpaw/documentation/documentation.html,"https://wiki.fysik.dtu.dk/gpaw/tutorialsexercises/tutorialsexercises.html 
https://wiki.fysik.dtu.dk/gpaw/documentation/basic.html ",Anvil: https://www.rcac.purdue.edu/software/gpaw,Anvil: 21.1.0
gperf,"Aces, Faster, Ookami",,,,,"GNU gperf is a perfect hash function generator. For a given list of strings, it produces a hash function and hash table, in form of C or C++ code, for looking up a value depending on the input string. The hash function is perfect, which means that the hash table has no collisions, and the hash table lookup needs a single string comparison only. 
Description Source: https://www.gnu.org/software/gperf/",https://www.gnu.org/software/gperf/,https://www.gnu.org/software/gperf/manual/gperf.html,"https://developer.ibm.com/tutorials/l-gperf/ 
https://www.math.utah.edu/docs/info/gperf_5.html ","Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/ 
Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami","Aces: 3.1
Faster: 3.1"
gperftools,"Aces, Faster, Ookami",,,,,"Gperftools, formerly known as Google Performance Tools, is a collection of utilities for measuring and improving the performance of C++ programs. The suite includes a high-performance, multi-threaded malloc implementation, as well as tools for heap profiling, heap checking, and CPU profiling, making it valuable for developers looking to optimize their applications for speed and memory usage.",https://github.com/gperftools/gperftools,https://github.com/gperftools/gperftools/wiki#documentation,"https://github.com/gperftools/gperftools/wiki#example 
https://developer.ridgerun.com/wiki/index.php/Profiling_with_GPerfTools ","Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/ 
Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami","Aces: 2.10, 2.13
Faster: 2.12, 2.13, 2.14"
gpflow,"Aces, Faster",,,,,"GPflow is a package for building Gaussian process models in python, using TensorFlow.",,,,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 2.9.0-Cuda-11.7.0-Tensorflow-2.11.0, 2.9.0-Cuda-11.7.0
Faster: 2.9.0-Cuda-11.7.0-Tensorflow-2.11.0"
gpu,Expanse,,,,,,,,,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,"Expanse: 0.15.4, 0.17.3B"
