id,software_name,rp_software,description,software_type,software_class,research_area,research_discipline,id,website_links,documents,examples,area_specific,containers,rp_documents
178,bohrium,faster,"Bohrium provides automatic acceleration of array operations in Python/NumPy, C, and C++ targeting multi-core CPUs and GP-GPUs. Forget handcrafting CUDA/OpenCL to utilize your GPU and forget threading, mutexes and locks to utilize your multi-core CPU, just use Bohrium! Description Source: https://bohrium.readthedocs.io/index.html",tool,Utilities,General,General,178,https://github.com/bh107/bohrium,https://bohrium.readthedocs.io/index.html,https://bohrium.readthedocs.io/users/cpp.html#code-snippets,,,
179,bokeh,"aces, faster","Bokeh is a Python library for creating interactive visualizations for modern web browsers. It helps you build beautiful graphics, ranging from simple plots to complex dashboards with streaming datasets. Description Source:https://docs.bokeh.org/en/latest/",library,Visualization,General,General,179,https://bokeh.org/,https://docs.bokeh.org/en/latest/,"https://realpython.com/python-data-visualization-bokeh/ , https://programminghistorian.org/en/lessons/visualizing-with-bokeh ",,,
180,boost,"aces, anvil, bridges-2, darwin, delta, expanse, faster, kyric, ookami, stampede3","BLAST (Basic Local Alignment Search Tool) is a bioinformatics software program used for comparing primary biological sequence information, such as the amino-acid sequences of proteins or the nucleotides of DNA and/or RNA sequences. It's widely used for identifying similarities, understanding evolutionary relationships, and finding functional and structural homologues among sequences in large databases, making it a crucial tool in genomic and proteomic research.",library,general,Engineering,Mathematics,180,https://www.boost.org/,https://www.boost.org/doc/libs/1_84_0/,"https://www.boost.org/doc/libs/1_77_0/more/getting_started/index.html , https://theboostcpplibraries.com/",,,
181,boost.mpi,aces,Boost.MPI is a library for message passing in high-performance parallel applications. Description Source:https://www.boost.org/doc/libs/1_84_0/doc/html/mpi/tutorial.html,library,Scientific Library,Engineering,Mathematics,181,https://github.com/boostorg/mpi,https://www.boost.org/doc/libs/1_84_0/doc/html/mpi.html,https://www.boost.org/doc/libs/1_84_0/doc/html/mpi/tutorial.html,,,
182,boost.python,"aces, faster",Boost.Python is a C++ library which enables seamless interoperability between C++ and the Python programming language. Description Source:https://www.boost.org/doc/libs/1_84_0/libs/python/doc/html/index.html,library,Scientific Library,Engineering,Mathematics,182,https://github.com/boostorg/python,https://www.boost.org/doc/libs/1_84_0/libs/python/doc/html/index.html,https://boostorg.github.io/python/doc/html/tutorial/index.html,,,
183,botorch,faster,"BoTorch (pronounced ""bow-torch"" / ˈbō-tȯrch) is a library for Bayesian Optimization research built on top of PyTorch, and is part of the PyTorch ecosystem. Description Source: https://botorch.org/docs/introduction",library,Scientific Library,Sciences,"Computer Science, Machine Learning",183,https://botorch.org/,https://botorch.org/docs/introduction,https://botorch.org/tutorials/,,,
184,bottleneck,faster,Bottleneck is a collection of fast NumPy array functions written in C. Description Source: https://github.com/pydata/bottleneck,library,Scientific Library,"Sciences, Engineering","Computer Science, Mathematics",184,https://github.com/pydata/bottleneck,https://bottleneck.readthedocs.io/en/latest/,,,,
185,bowtie,"anvil, faster","Bowtie is an ultrafast, memory-efficient short read aligner geared toward quickly aligning large sets of short DNA sequences (reads) to large genomes. Description Source:https://bowtie-bio.sourceforge.net/manual.shtml",application,Bioinformatics,Sciences,Biology,185,https://bowtie-bio.sourceforge.net/index.shtml,https://bowtie-bio.sourceforge.net/manual.shtml,https://bowtie-bio.sourceforge.net/tutorial.shtml,,,
186,bowtie2,"anvil, bridges-2, expanse, faster",Bowtie 2 is an ultrafast and memory-efficient tool for aligning sequencing reads to long reference sequences. It is particularly good at aligning to relatively long (e.g. mammalian) genomes. Description Source:https://github.com/BenLangmead/bowtie3,application,Bioinformatics,Sciences,Biology,186,https://bowtie-bio.sourceforge.net/bowtie2/index.shtml,https://bowtie-bio.sourceforge.net/bowtie2/manual.shtml,https://bowtie-bio.sourceforge.net/bowtie2/manual.shtml#getting-started-with-bowtie-2-lambda-phage-example,,,
187,bracken,anvil,Bracken (Bayesian Reestimation of Abundance with KrakEN) is a highly accurate statistical method that computes the abundance of species in DNA sequences from a metagenomics sample. Description Source: https://purduercac-applications.readthedocs.io/en/latest/Biocontainers/bracken/bracken.html,application,Bioinformatics,Sciences,Biology,187,https://github.com/jenniferlu717/Bracken,https://ccb.jhu.edu/software/bracken/index.shtml?t=manual,https://github.com/jenniferlu717/Bracken?tab=readme-ov-file#example-abundance-estimation,,,
188,braker2,anvil,BRAKER is a pipeline for fully automated prediction of protein coding gene structures with GeneMark-ES/ET and AUGUSTUS in novel eukaryotic genomes. Description Source: https://purduercac-applications.readthedocs.io/en/latest/Biocontainers/braker2/braker2.html,application,Bioinformatics,Sciences,Biology,188,https://github.com/Gaius-Augustus/BRAKER,https://bioinf.uni-greifswald.de/augustus/binaries/tutorial2018/BRAKER_userguide.pdf,https://www.youtube.com/watch?v=UXTkJ4mUkyg,,,
189,brass,anvil,Brass is used to analyze one or more related BAM files of paired-end sequencing to determine potential rearrangement breakpoints. Description Source: https://purduercac-applications.readthedocs.io/en/latest/Biocontainers/brass/brass.html,application,Bioinformatics,Sciences,Biology,189,https://github.com/cancerit/BRASS,https://github.com/cancerit/BRASS,,,,
190,breseq,anvil,Breseq is a computational pipeline for the analysis of short-read re-sequencing data. Description Source: https://purduercac-applications.readthedocs.io/en/latest/Biocontainers/breseq/breseq.html,application,Bioinformatics,Sciences,Biology,190,https://github.com/barricklab/breseq,https://barricklab.org/twiki/pub/Lab/ToolsBacterialGenomeResequencing/documentation/,"https://barricklab.org/twiki/pub/Lab/ToolsBacterialGenomeResequencing/documentation/tutorial_clones.html , https://barricklab.org/twiki/pub/Lab/ToolsBacterialGenomeResequencing/documentation/tutorial_populations.html , https://barricklab.org/twiki/pub/Lab/ToolsBacterialGenomeResequencing/documentation/tutorial_barcoded_targeted.html",,,
191,brotli,"aces, faster","Brotli is a generic-purpose lossless compression algorithm that compresses data using a combination of a modern variant of the LZ77 algorithm, Huffman coding and 2nd order context modeling, with a compression ratio comparable to the best currently available general-purpose compression methods. Description Source: https://brotli.org/",tool,developer support,General,General,191,https://brotli.org/,https://github.com/google/brotli,https://kinsta.com/blog/brotli-compression/,,,
192,brotli-python,aces,"Brotli is a generic-purpose lossless compression algorithm that compresses data using a combination of a modern variant of the LZ77 algorithm, Huffman coding and 2nd order context modeling, with a compression ratio comparable to the best currently available general-purpose compression methods. Description Source:https://brotli.org/",tool,"Python Module, developer support",General,General,192,https://github.com/python-hyper/brotlicffi,https://python-hyper.org/projects/brotlipy/en/latest/,https://github.com/python-hyper/brotlicffi/tree/main/example,,,
193,brunsli,"aces, faster",Brunsli is a lossless JPEG repacking library. Brunsli allows for a 22% decrease in file size while allowing the original JPEG to be recovered byte-by-byte. Description Source:https://github.com/google/brunsli,tool,developer support,General,General,193,https://brunsli.dev/,https://github.com/google/brunsli,https://github.com/google/brunsli?tab=readme-ov-file#build-instructions,,,
194,build,faster,"A simple, correct Python build frontend. Description Source: https://github.com/pypa/build",application,developer support,General,General,194,https://github.com/pypa/build,https://build.pypa.io/en/stable/,,,,
195,busco,"anvil, bridges-2",Benchmarking Universal Single-Copy Orthologs (BUSCO) is used for assessing genome assembly and annotation completeness.  Description Source:https://gitlab.com/ezlab/busco,application,Bioinformatics,Sciences,Biology,195,https://busco.ezlab.org/,https://busco.ezlab.org/busco_userguide.html,https://busco.ezlab.org/busco_userguide.html#running-busco,,,
196,bustools,anvil,Bustools is a program for manipulating BUS files for single cell RNA-Seq datasets. Description Source: https://purduercac-applications.readthedocs.io/en/latest/Biocontainers/bustools/bustools.html,application,Bioinformatics,Sciences,Biology,196,https://bustools.github.io/,https://bustools.github.io/manual,https://www.kallistobus.tools/applications/,,,
197,bwa,"aces, anvil, bridges-2, expanse, faster","BWA is a software package for mapping low-divergent sequences against a large reference genome, such as the human genome. Description Source:https://bio-bwa.sourceforge.net/",application,Bioinformatics,Sciences,Biology,197,https://bio-bwa.sourceforge.net/,https://bio-bwa.sourceforge.net/bwa.shtml,https://bioinformatics-core-shared-training.github.io/cruk-bioinf-sschool/Day1/Sequence%20Alignment_July2015_ShamithSamarajiwa.pdf,,,
198,bwameth,anvil,Bwameth is a tool for fast and accurante alignment of BS-Seq reads. Description Source: https://purduercac-applications.readthedocs.io/en/latest/Biocontainers/bwameth/bwameth.html,application,Bioinformatics,Sciences,Biology,198,https://github.com/brentp/bwa-meth,https://github.com/brentp/bwa-meth,https://github.com/brentp/bwa-meth/tree/master/example/,,,
199,byacc,expanse,Berkeley Yacc is an LALR(1) parser generator. Berkeley Yacc has been made as compatible as possible with AT&T Yacc. Berkeley Yacc can accept any input specification that conforms to the AT&T Yacc documentation. Description Source: https://github.com/grandseiken/byacc,tool,developer support,General,General,199,https://invisible-island.net/byacc/,https://invisible-island.net/byacc/manpage/yacc.html,,,,
200,bzip2,"aces, expanse, faster, kyric","bzip2 is a freely available, patent free, high-quality data compressor. It typically compresses files to within 10% to 15% of the best available techniques (the PPM family of statistical compressors), whilst being around twice as fast at compression and six times faster at decompression. Description Source:https://sourceware.org/bzip2/",,Utilties,,,200,https://sourceware.org/bzip2/,https://sourceware.org/bzip2/manual/manual.html,https://www.tutorialspoint.com/unix_commands/bzip2.htm,,,
201,c-ares,"aces, faster",c-ares is a C library for asynchronous DNS requests (including name resolves),,,,,201,,,,,,
202,cactus,anvil,"Cactus is a reference-free whole-genome alignment program, as well as a pagenome graph construction toolkit. Description Source = https://github.com/ComparativeGenomicsToolkit/cactus?tab=readme-ov-file",application,"modeling, genomics, bioinformatics",Sciences,Biology,202,https://github.com/ComparativeGenomicsToolkit/cactus?tab=readme-ov-file,https://www.cactuscode.org/documentation/ReferenceManual.pdf,"https://www.cactuscode.org/documentation/tutorials/index.html , https://www.cactuscode.org/documentation/UsersGuide.pdf ",,,
203,cafe,anvil,Cafe is a computational tool for the study of gene family evolution,,,,,203,,,,,,
204,cairo,"aces, faster","Cairo is a 2D graphics library with support for multiple output devices. Currently supported output targets include the X Window System (via both Xlib and XCB), Quartz, Win32, image buffers, PostScript, PDF, and SVG file output. Description Source:https://cairographics.org/",,Bioinformatics,Sciences,Biology,204,https://cairographics.org/,https://www.cairographics.org/manual/,"https://www.cairographics.org/tutorial/ , https://zetcode.com/gfx/cairo/ ",,,
205,canu,"anvil, faster","Canu is a fork of the Celera Assembler, designed for high-noise single-molecule sequencing (such as the PacBio RS II/Sequel or Oxford Nanopore MinION). Description Source:https://github.com/marbl/canu",,Bioinformatics,Sciences,Biology,205,https://github.com/marbl/canu,https://canu.readthedocs.io/en/latest/,"https://canu.readthedocs.io/en/latest/quick-start.html , https://canu.readthedocs.io/en/latest/tutorial.html ",,,
206,capstone,"aces, faster",Capstone is a disassembly framework with the target of becoming the ultimate disasm engine for binary analysis and reversing in the security community.,,,,,206,,,,,,
207,captum,aces,"Captum (“comprehension” in Latin) is an open source, extensible library for model interpretability built on PyTorch. Captum helps ML researchers more easily implement interpretability algorithms that can interact with PyTorch models. It also allows researchers to quickly benchmark their work against other existing algorithms available in the library. Description Source:https://captum.ai/docs/introduction.html",library,AI/ML,,,207,https://captum.ai/,https://captum.ai/docs/introduction,https://captum.ai/tutorials/,,,
208,cartopy,"aces, faster",Cartopy is a Python package designed to make drawing maps for data analysis and visualisation easy.,,,,,208,,,,,,
209,catch2,"aces, faster","Catch2 is mainly a unit testing framework for C++, but it also provides basic micro-benchmarking features, and simple BDD macros.",,,,,209,,,,,,
210,ccache,"aces, faster",Ccache is a compiler cache. It speeds up recompilation by caching previous compilations and detecting when the same compilation is being done again. Description Source:https://ccache.dev/,,,,,210,https://ccache.dev/,https://linux.die.net/man/1/ccache,https://ccache.dev/manual/latest.html,,,
211,ccdb,delta,,,,,,211,,,,,,
212,cce,delta,,,,,,212,,,,,,
213,cce-mixed,delta,,,,,,213,,,,,,
214,ccl,kyric,,,,,,214,https://ccl.clozure.com/,https://ccl.clozure.com/docs/ccl.html,https://ccl.clozure.com/docs/ccl.html#using-clozure-cl,,,
215,ccs,anvil,Pbccs is a tool to generate Highly Accurate Single-Molecule Consensus Reads (HiFi Reads).,,,,,215,,,,,,
216,cd-hit,"aces, anvil, faster",Cd-hit is a very widely used program for clustering and comparing protein or nucleotide sequences.,,,,,216,,,,,,
217,cdat,faster,,,,,,217,,,,,,
218,cdbtools,anvil,Cdbtools is a collection of tools used for creating indices for quick retrieval of any particular sequences from large multi-FASTA files.,,,,,218,,,,,,
219,cdo,"aces, anvil, delta, faster, stampede3","CDO is a collection of command line Operators to manipulate and analyse Climate and NWP model Data. Supported data formats are GRIB 1/2, netCDF 3/4, SERVICE, EXTRA and IEG. There are more than 600 operators available. Description Source:https://code.mpimet.mpg.de/projects/cdo",,,,,219,https://code.mpimet.mpg.de/projects/cdo,https://code.mpimet.mpg.de/projects/cdo/wiki/Cdo#Documentation,https://code.mpimet.mpg.de/projects/cdo/wiki/Tutorial,,,
220,cdsapi,aces,The Climate Data Store (CDS) Application Program Interface (API) is a service providing programmatic access to CDS data. Description Source:https://cds.climate.copernicus.eu/api-how-to,API,,Climate/Weather,,220,https://github.com/ecmwf/cdsapi,https://confluence.ecmwf.int/display/CKB/Climate+Data+Store+%28CDS%29+API+Keywords,https://cds.climate.copernicus.eu/api-how-to,,,
221,cegma,anvil,CEGMA (Core Eukaryotic Genes Mapping Approach) is a pipeline for building a set of high reliable set of gene annotations in virtually any eukaryotic genome.,,,,,221,,,,,,
222,cellbender,anvil,Cellbender is a software package for eliminating technical artifacts from high-throughput single-cell RNA sequencing (scRNA-seq) data.,,,,,222,,,,,,
223,cellchat,anvil,CellChat: Inference and analysis of cell-cell communication.Description Source:https://purduercac-applications.readthedocs.io/en/latest/Biocontainers/r-cellchat/r-cellchat.html,,,,,223,https://github.com/sqjin/CellChat,,,,,
224,cellphonedb,anvil,"CellPhoneDB is a publicly available repository of curated receptors, ligands and their interactions.",,,,,224,,,,,,
225,cellranger,anvil,"A set of analysis pipelines that perform sample demultiplexing, barcode processing, single cell 3' and 5' gene counting, V(D)J transcript sequence assembly and annotation, and Feature Barcode analysis from single cell data. Description Source:https://www.10xgenomics.com/support/software/cell-ranger/latest",,Bioinformatics,Sciences,Biology,225,https://www.10xgenomics.com/support/software/cell-ranger/latest,https://www.10xgenomics.com/support/software/cell-ranger/latest/resources/cr-command-line-arguments,https://www.10xgenomics.com/support/software/cell-ranger/latest/tutorials,,,
226,cellranger-arc,anvil,"Cell Ranger ARC is a set of analysis pipelines that process Chromium Single Cell Multiome ATAC + Gene Expression sequencing data to generate a variety of analyses pertaining to gene expression (GEX), chromatin accessibility, and their linkage.",,,,,226,,,,,,
227,cellranger-atac,anvil,Cell Ranger ATAC is a software application for analyzing and visualizing Single Cell ATAC data produced by the 10x Genomics Chromium platform. Software Description=https://support.10xgenomics.com/single-cell-atac/software/overview/welcome,application,Bioinformatics,Sciences,Biology,227,https://support.10xgenomics.com/single-cell-atac/software/overview/welcome,https://www.10xgenomics.com/support/single-cell-atac/documentation,https://pages.10xgenomics.com/sup-how-to-single-cell-atac-v2.html,,,
228,cellranger-dna,anvil,,,,,,228,,,,,,
229,cellrank,anvil,Cellrank is a toolkit to uncover cellular dynamics based on Markov state modeling of single-cell data.,,,,,229,,,,,,
230,cellrank-krylov,anvil,Cellrank-krylov is the cellrank package with extra libraries that are useful for large datasets.,,,,,230,,,,,,
231,cellsnp-lite,anvil,"cellSNP aims to pileup the expressed alleles in single-cell or bulk RNA-seq data, which can be directly used for donor deconvolution in multiplexed single-cell RNA-seq data, particularly with vireo, which assigns cells to donors and detects doublets, even without genotyping reference.",,,,,231,,,,,,
232,celltypist,anvil,Celltypist is a tool for semi-automatic cell type annotation.,,,,,232,,,,,,
233,centrifuge,anvil,"Centrifuge is a novel microbial classification engine that enables rapid, accurate, and sensitive labeling of reads and quantification of species on desktop computers.",,,,,233,,,,,,
234,cereal,expanse,"cereal is a header-only C++11 serialization library. cereal takes arbitrary data types and reversibly turns them into different representations, such as compact binary encodings, XML, or JSON.",,,,,234,,,,,,
235,cesm,faster,"The Community Earth System Model is a fully coupled global climate model developed in collaboration with colleagues in the research community. CESM provides state of the art computer simulations of Earth's past, present, and future climate states. Description Source:https://www.cesm.ucar.edu/",application,"Climate//Weather, Simulation, Modeling",Sciences,,235,https://www.cesm.ucar.edu/models/cesm2,https://escomp.github.io/CESM/versions/cesm2.2/html/introduction.html,https://www.youtube.com/playlist?list=PLsqhY3nFckOEX41g8ZUnhGT2c--5kUZ1V,,,
236,cesm-deps,"aces, faster","The Community Earth System Model is a fully coupled global climate model developed in collaboration with colleagues in the research community. CESM provides state of the art computer simulations of Earth's past, present, and future climate states. Description Source:https://www.cesm.ucar.edu/",application,"Climate//Weather, Simulation, Modeling",Sciences,,236,https://www.cesm.ucar.edu/models/cesm2,https://escomp.github.io/CESM/versions/cesm2.2/html/introduction.html,,,,
237,cffi,"aces, faster","C Foreign Function Interface for Python. Interact with almost any C code from Python, based on C-like declarations that you can often copy-paste from header files or documentation.",,,,,237,,,,,,
238,cfitsio,"aces, faster",CFITSIO is a library of C and Fortran subroutines for reading and writing data files in FITS (Flexible Image Transport System) data format. CFITSIO provides simple high-level routines for reading and writing FITS files that insulate the programmer from the internal complexities of the FITS format. Description Source:https://heasarc.gsfc.nasa.gov/fitsio/,library,,,,238,https://heasarc.gsfc.nasa.gov/fitsio/,https://heasarc.gsfc.nasa.gov/fitsio/c/c_user/cfitsio.html,"https://heasarc.gsfc.nasa.gov/docs/software/fitsio/quick/node2.html , https://fits.gsfc.nasa.gov/fits_libraries.html#c_cfitsio , https://heasarc.gsfc.nasa.gov/docs/software/fitsio/cexamples.html",,,
239,cfsan-snp-pipeline,anvil,The CFSAN SNP Pipeline is a Python-based system for the production of SNP matrices from sequence data used in the phylogenetic analysis of pathogenic organisms sequenced from samples of interest to food safety.,,,,,239,,,,,,
240,cgal,"aces, expanse, faster","CGAL is an open source software project that provides easy access to efficient and reliable geometric algorithms in the form of a C++ library. CGAL is used in various areas needing geometric computation, such as geographic information systems, computer aided design, molecular biology, medical imaging, computer graphics, and robotics. Description Source:https://www.cgal.org/",library,,,,240,https://www.cgal.org/,https://doc.cgal.org/latest/Manual/dev_manual.html,https://doc.cgal.org/latest/Manual/tutorials.html,,,
241,cgns,aces,,,,,,241,,,,,,
242,chameleon,aces,"Chameleon is a framework written in C which provides routines to solve dense general systems of linear equations, symmetric positive definite systems of linear equations and linear least squares problems, using LU, Cholesky, QR and LQ factorizations.",,,,,242,,,,,,
243,chapel,"faster, ookami",Chapel is a programming language designed for productive parallel computing at scale. Description Source:https://chapel-lang.org/,,Programming Language,,,243,https://chapel-lang.org/,https://chapel-lang.org/docs/,https://chapel-lang.org/tutorials.html,,,
244,charliecloud,"aces, faster, stampede3",Charliecloud provides user-defined software stacks (UDSS) for high-performance computing (HPC) centers. Description Source:https://hpc.github.io/charliecloud/,,Container software,,,244,https://github.com/hpc/charliecloud,https://hpc.github.io/charliecloud/,"https://hpc.github.io/charliecloud/tutorial.html, ",,,
245,charm,darwin,,,,,,245,,,,,,
246,charmpp,expanse,"Charm++ is a parallel programming framework in C++ supported by an adaptive runtime system, which enhances user productivity and allows programs to run portably from small multicore computers (your laptop) to the largest supercomputers.",,,,,246,,,,,,
247,check,"aces, faster","Check is a unit testing framework for C. It features a simple interface for defining unit tests, putting little in the way of the developer. Tests are run in a separate address space, so both assertion failures and code errors that cause segmentation faults or other signals can be caught. Description Source:https://libcheck.github.io/check/",,,,,247,https://libcheck.github.io/check/,https://libcheck.github.io/check/doc/doxygen/html/check_8h.html,https://libcheck.github.io/check/doc/check_html/check_3.html#Tutorial,,,
248,checkm,bridges-2,"CheckM provides a set of tools for assessing the quality of genomes recovered from isolates, single cells, or metagenomes. It provides robust estimates of genome completeness and contamination by using collocated sets of genes that are ubiquitous and single-copy within a phylogenetic lineage. Description Source:https://github.com/Ecogenomics/CheckM/wiki/Introduction#about",,Bioinfirmatics,Sciences,Biology,248,https://ecogenomics.github.io/CheckM/,https://github.com/Ecogenomics/CheckM/wiki,https://github.com/Ecogenomics/CheckM/wiki/Quick-Start,,,
249,checkm-genome,anvil,"Checkm-genome provides a set of tools for assessing the quality of genomes recovered from isolates, single cells, or metagenomes.",,,,,249,,,,,,
250,chemprop,aces,Chemprop is a message passing neural network for molecular property prediction. Description Source:https://chemprop.readthedocs.io/en/latest/,,,,,250,https://github.com/chemprop/chemprop,https://chemprop.readthedocs.io/en/latest/,"https://chemprop.readthedocs.io/en/latest/tutorial.html, ",,,
251,chewbbaca,anvil,"chewBBACA is a comprehensive pipeline including a set of functions for the creation and validation of whole genome and core genome MultiLocus Sequence Typing (wg/cgMLST) schemas, providing an allele calling algorithm based on Blast Score Ratio that can be run in multiprocessor settings and a set of functions to visualize and validate allele variation in the loci. chewBBACA performs the schema creation and allele calls on complete or draft genomes resulting from de novo assemblers.",,,,,251,,,,,,
252,chimerax,"aces, faster","UCSF ChimeraX is the next-generation visualization program from the Resource for Biocomputing, Visualization, and Informatics at UC San Francisco, following Chimera",application,Bioinformatics,Sciences,Biology,252,https://www.cgl.ucsf.edu/chimerax/,https://www.cgl.ucsf.edu/chimerax/docs/index.html,"https://www.rbvi.ucsf.edu/chimerax/tutorials.html , https://www.rbvi.ucsf.edu/chimerax/docs/videos/ , https://rbvi.github.io/chimerax-recipes/ ",,,
253,chopper,anvil,"Chopper is Rust implementation of NanoFilt+NanoLyse, both originally written in Python.",,,,,253,,,,,,
254,chromap,anvil,Chromap is an ultrafast method for aligning and preprocessing high throughput chromatin profiles.,,,,,254,,,,,,
255,cicero,anvil,CICERO (Clipped-reads Extended for RNA Optimization) is an assembly-based algorithm to detect diverse classes of driver gene fusions from RNA-seq.,,,,,255,,,,,,
256,cimfomfa,aces,"This library supports both MCL, a cluster algorithm for graphs, and zoem, a macro/DSL language. It supplies abstractions for memory management, I/O, associative arrays, strings, heaps, and a few other things. The string library has had heavy testing as part of zoem.",,,,,256,,,,,,
257,circexplorer2,anvil,CIRCexplorer2 is a comprehensive and integrative circular RNA analysis toolset. It is the successor of CIRCexplorer with plenty of new features to facilitate circular RNA identification and characterization.,,,,,257,,,,,,
258,circlator,anvil,Circlator is a tool to circularize genome assemblies.,,,,,258,,,,,,
259,circompara2,anvil,"CirComPara2 is a computational pipeline to detect, quantify, and correlate expression of linear and circular RNAs from RNA-seq data that combines multiple circRNA-detection methods.",,,,,259,,,,,,
260,circos,"anvil, bridges-2",Circos is a software package for visualizing data and information. It visualizes data in a circular layout — this makes Circos ideal for exploring relationships between objects or positions. Description Source:https://circos.ca/,,,,,260,https://circos.ca/,https://circos.ca/documentation/,"https://circos.ca/documentation/course/ , https://circos.ca/tutorials/ , https://circos.ca/documentation/images/small/ ",,,
261,ciri2,anvil,CIRI2: Circular RNA identification based on multiple seed matching,,,,,261,,,,,,
262,ciriquant,anvil,Ciriquant is a comprehensive analysis pipeline for circRNA detection and quantification in RNA-Seq data.,,,,,262,,,,,,
263,cistem,"aces, faster",cisTEM is user-friendly software to process cryo-EM images of macromolecular complexes and obtain high-resolution 3D reconstructions from them. Description Source:https://cistem.org/,,,,,263,https://cistem.org/,https://cistem.org/documentation,https://cistem.org/sites/default/files/uploads/cisTEM_tutorial.pdf,,,
264,ckdmip,aces,Software for the Correlated K-Distribution Model Intercomparison Project (CKDMIP).,,,,,264,,,,,,
265,clair3,anvil,Clair3 is a germline small variant caller for long-reads.,,,,,265,,,,,,
266,clairvoyante,anvil,Clairvoyante is a deep neural network based variant caller.,,,,,266,,,,,,
267,clang,"aces, faster","The Clang project provides a language front-end and tooling infrastructure (its a compier) for languages in the C language family (C, C++, Objective C/C++, OpenCL, CUDA, and RenderScript) for the LLVM project. Description Source:https://clang.llvm.org/",,Compilers,,,267,https://clang.llvm.org/,https://clang.llvm.org/doxygen/index.html,https://clang.llvm.org/docs/UsersManual.html,,,
268,clang-aomp,faster,,,,,,268,,,,,,
269,clck,kyric,,,,,,269,https://www.intel.com/content/www/us/en/developer/tools/oneapi/cluster-checker.html#gs.5j2g84,https://www.intel.com/content/www/us/en/developer/tools/oneapi/cluster-checker-documentation.html,https://www.intel.com/content/www/us/en/docs/cluster-checker/user-guide/2021-7-2/getting-started.html,,,
270,clearcnv,anvil,ClearCNV: CNV calling from NGS panel data in the presence of ambiguity and noise.,,,,,270,,,,,,
271,clever-toolkit,anvil,Clever-toolkit is a collection of tools to discover and genotype structural variations in genomes from paired-end sequencing reads. The main software is written in C++ with some auxiliary scripts in Python.,,,,,271,,,,,,
272,clhep,"aces, faster",,,,,,272,,,,,,
273,climetlab,aces,"CliMetLab is a Python package aiming at simplifying access to climate and meteorological datasets, allowing users to focus on science instead of technical issues such as data access and data formats. Description Source:https://climetlab.readthedocs.io/en/latest/index.html",package,Climate/Weather,,,273,https://github.com/ecmwf/climetlab,https://climetlab.readthedocs.io/en/latest/,https://climetlab.readthedocs.io/en/latest/firststeps.html,,,
274,clip,aces,"CLIP (Contrastive Language-Image Pre-Training) is a neural network trained on a variety of (image, text) pairs. It can be instructed in natural language to predict the most relevant text snippet, given an image, without directly optimizing for the task, similarly to the zero-shot capabilities of GPT-2 and 3. Description Source:https://github.com/openai/CLIP",,AI/ML,,,274,https://openai.com/research/clip,https://github.com/openai/CLIP/blob/main/notebooks/Interacting_with_CLIP.ipynb,https://github.com/openai/CLIP#usage,,,
275,clonalframeml,anvil,ClonalFrameML is a software package that performs efficient inference of recombination in bacterial genomes.,,,,,275,,,,,,
276,clp,faster,,,,,,276,,,,,,
277,clust,anvil,Clust is a fully automated method for identification of clusters (groups) of genes that are consistently co-expressed (well-correlated) in one or more heterogeneous datasets from one or multiple species.,,,,,277,,,,,,
278,clustalw,anvil,Clustalw is a general purpose multiple alignment program for DNA or proteins.,,,,,278,,,,,,
279,clustalw2,faster,,,,,,279,,,,,,
280,cluster-tools,ookami,,,,,,280,https://github.com/constantinpape/cluster_tools,https://github.com/constantinpape/cluster_tools/blob/master/cluster_tools/workflows.py,https://github.com/constantinpape/cluster_tools/tree/master/example,,,
281,cm-pmix3,"expanse, ookami",,,,,,281,https://pmix.github.io/standard,https://pmix.github.io/uploads/2019/02/pmix-standard-3.1.pdf,https://openpmix.github.io/support/how-to/,,,
282,cmake,"aces, anvil, darwin, delta, expanse, faster, kyric, ookami, stampede3","CMake is the de-facto standard for building C++ code, with over 2 million downloads a month. It’s a powerful, comprehensive solution for managing the software build process. Description Source:https://cmake.org/",,Utilities,,,282,https://cmake.org/,https://cmake.org/cmake/help/latest/,"https://cmake.org/getting-started/, https://cmake.org/cmake/help/latest/guide/tutorial/index.html , https://www.youtube.com/watch?v=wl2Srog-j7I",,,
283,cmd,ookami,,,,,,283,https://docs.nvidia.com/dgx-superpod/administration-guide-dgx-superpod/latest/cluster-management-daemon.html#,https://support.brightcomputing.com/manuals/9.2/developer-manual.pdf,https://www.hpe.com/psnow/resources/ebooks/a00113955en_us_v2/Manage_an_HSM_System_with_Bright.html,,,
284,cmjob,"expanse, ookami",,,,,,284,https://docs.nvidia.com/dgx-superpod/administration-guide-dgx-superpod/latest/cluster-management-daemon.html#,https://support.brightcomputing.com/manuals/9.2/developer-manual.pdf,https://www.hpe.com/psnow/resources/ebooks/a00113955en_us_v2/Manage_an_HSM_System_with_Bright.html,,,
285,cnvkit,anvil,CNVkit is a command-line toolkit and Python library for detecting copy number variants and alterations genome-wide from high-throughput sequencing.,,,,,285,,,,,,
286,cnvnator,"anvil, faster",Cnvnator is a tool for discovery and characterization of copy number variation (CNV) in population genome sequencing data.,,,,,286,,,,,,
287,cobaya,faster,,,,,,287,,,,,,
288,code-server,faster,,,,,,288,,,,,,
289,coinfinder,anvil,Coinfinder is an algorithm and software tool that detects genes which associate and dissociate with other genes more often than expected by chance in pangenomes.,,,,,289,,,,,,
