Software,RP Name,Software Type,Software Class,Research Area,Research Discipline,Software Description,Software's Web Page,Software Documentation/Link,Example Software Use (link),Area-specific Examples,Containerized Version of Software,RP Documentations for Software,Pathing
bamutil,anvil,toolkit,Bioinformatics,Sciences,Biology,Bamutil is a collection of programs for working on SAM/BAM files. Description Source: https://purduercac-applications.readthedocs.io/en/latest/Biocontainers/bamutil/bamutil.html,https://github.com/statgen/bamUtil,https://genome.sph.umich.edu/wiki/BamUtil,https://genome.sph.umich.edu/wiki/Category:BamUtil,,,,
banner,delta,application,Text output,General,General,"The banner program is used to print large letters of a given text. If the text is not given on the command line, it will be read from stdin. Description Source: https://linuxcommandlibrary.com/man/banner",https://linuxcommandlibrary.com/man/banner,https://www.ibm.com/docs/en/aix/7.3?topic=b-banner-command#banner__title__5,https://www.ibm.com/docs/en/aix/7.3?topic=b-banner-command#banner__title__5,,,,
barrnap,anvil,application,Bioinformatics,Sciences,Biology,Barrnap: Basic Rapid Ribosomal RNA Predictor. Barrnap predicts the location of ribosomal RNA genes in genomes. Description Source: https://github.com/tseemann/barrnap,https://github.com/tseemann/barrnap,https://github.com/tseemann/barrnap?tab=readme-ov-file#options,https://github.com/tseemann/barrnap?tab=readme-ov-file#usage,,,,
basenji,anvil,application,Bioinformatics,Sciences,"Computer Science, Machine Learning, Biology",Basenji is a tool for sequential regulatory activity predictions with deep convolutional neural networks. Description Source: https://purduercac-applications.readthedocs.io/en/latest/Biocontainers/basenji/basenji.html,https://github.com/calico/basenji,https://github.com/calico/basenji,https://github.com/calico/basenji?tab=readme-ov-file#tutorials,,,,
bat,bridges-2,utility,developer support,General,General,"bat tries to achieve the following goals: Provide beautiful, advanced syntax highlighting, integrate with Git to show file modifications, be a drop-in replacement for (POSIX) cat, offer a user-friendly command-line interface. Description Source: https://github.com/sharkdp/bat?tab=readme-ov-file#project-goals-and-alternatives",https://github.com/sharkdp/bat,https://github.com/sharkdp/bat,https://github.com/sharkdp/bat?tab=readme-ov-file#how-to-use,,,,
bayescan,anvil,application,Bioinformatics,Sciences,Biology,"BayeScan aims at identifying candidate loci under natural selection from genetic data, using differences in allele frequencies between populations. Description Source: https://purduercac-applications.readthedocs.io/en/latest/Biocontainers/bayescan/bayescan.html",https://cmpg.unibe.ch/software/BayeScan/,https://cmpg.unibe.ch/software/BayeScan/files/BayeScan2.1_manual.pdf,https://evomics.org/wp-content/uploads/2016/01/BayeScan_BayeScEnv_exercises.pdf,,,,
bazam,anvil,application,Bioinformatics,Sciences,Biology,Bazam is a tool to extract paired reads in FASTQ format from coordinate sorted BAM files. Description Source: https://purduercac-applications.readthedocs.io/en/latest/Biocontainers/bazam/bazam.html,https://github.com/ssadedin/bazam,https://github.com/ssadedin/bazam,"https://github.com/ssadedin/bazam?tab=readme-ov-file#simple-example , https://github.com/ssadedin/bazam?tab=readme-ov-file#advanced-example",,,,
bazel,"aces, bridges-2, faster",utility,developer support,General,General,"Bazel is an open-source build and test tool similar to Make, Maven, and Gradle. It uses a human-readable, high-level build language. Bazel supports projects in multiple languages and builds outputs for multiple platforms. Bazel supports large codebases across multiple repositories, and large numbers of users. Description Source: https://bazel.build/about/intro",https://bazel.build/,https://bazel.build/docs,"https://bazel.build/docs#tutorials , https://bazel.build/start/cpp",,,,
bbmap,"aces, anvil, bridges-2, faster",application,Bioinformatics,Sciences,Biology,"Bbmap is a short read aligner, as well as various other bioinformatic tools. Description Source: https://purduercac-applications.readthedocs.io/en/latest/Biocontainers/bbmap/bbmap.html",https://sourceforge.net/projects/bbmap/,https://jgi.doe.gov/data-and-tools/software-tools/bbtools/bb-tools-user-guide/bbmap-guide/,,,,,
bbtools,anvil,toolkit,Bioinformatics,Sciences,Biology,"BBTools is a suite of fast, multithreaded bioinformatics tools designed for analysis of DNA and RNA sequence data. Description Source: https://purduercac-applications.readthedocs.io/en/latest/Biocontainers/bbtools/bbtools.html",https://jgi.doe.gov/data-and-tools/software-tools/bbtools/,https://jgi.doe.gov/data-and-tools/software-tools/bbtools/bb-tools-user-guide/,,,,,
bcftools,"anvil, bridges-2, expanse, faster",application,Bioinformatics,Sciences,Biology,BCFtools is a program for variant calling and manipulating files in the Variant Call Format (VCF) and its binary counterpart BCF. Description Source:https://samtools.github.io/bcftools/howtos/index.html,https://github.com/samtools/bcftools,https://samtools.github.io/bcftools/bcftools.html,,,,,
bcl2fastq,anvil,utility,Bioinformatics,Sciences,Biology,"BCL2FASTQ is a software tool that converts raw sequencing data from Illumina sequencing instruments into the FASTQ format, enabling bioinformatic analysis of genomic sequences.",https://support.illumina.com/sequencing/sequencing_software/bcl2fastq-conversion-software.html,https://support.illumina.com/content/dam/illumina-support/documents/documentation/software_documentation/bcl2fastq/bcl2fastq2-v2-20-software-guide-15051736-03.pdf,https://www.youtube.com/watch?v=gz3H_pcLe7c,,,,
beagle,anvil,application,Bioinformatics,Sciences,Biology,Beagle is is a software package for phasing genotypes and for imputing ungenotyped markers. Description Source: https://purduercac-applications.readthedocs.io/en/latest/Biocontainers/beagle/beagle.html,https://faculty.washington.edu/browning/beagle/beagle.html,https://faculty.washington.edu/browning/beagle/beagle_5.4_18Mar22.pdf,https://faculty.washington.edu/browning/beagle/run.beagle.01Mar24.d36.example,,,,
beagle-lib,faster,library,Bioinformatics,Sciences,Biology,BEAGLE is a high-performance library that can perform the core calculations at the heart of most Bayesian and Maximum Likelihood phylogenetics packages. It can make use of highly-parallel processors such as those in graphics cards (GPUs) found in many PCs. Description Source: https://github.com/beagle-dev/beagle-lib,https://github.com/beagle-dev/beagle-lib,https://github.com/beagle-dev/beagle-lib?tab=readme-ov-file#documentation,,,,,
beast,faster,application,Bioinformatics,Sciences,Biology,BEAST 2 is a cross-platform program for Bayesian phylogenetic analysis of molecular sequences. Description Source: https://www.beast2.org/,https://www.beast2.org/,https://www.beast2.org/xml/index.html,https://www.beast2.org/tutorials/,,,,
beast1,expanse,application,Bioinformatics,Sciences,Biology,BEAST is a cross-platform program for Bayesian analysis of molecular sequences using MCMC. Description Source: https://beast.community/,https://github.com/beast-dev/beast-mcmc,https://beast.community/,https://beast.community/getting_started,,,,
beast2,"anvil, expanse",application,Bioinformatics,Sciences,Biology,BEAST 2 is a cross-platform program for Bayesian phylogenetic analysis of molecular sequences. Description Source: https://www.beast2.org/,https://www.beast2.org/,https://www.beast2.org/xml/index.html,https://www.beast2.org/tutorials/,,,,
beautifulsoup,"aces, faster",library,Python library for parsing,Computer Science,General,"Beautiful Soup is a Python library for pulling data out of HTML and XML files. It works with your favorite parser to provide idiomatic ways of navigating, searching, and modifying the parse tree. Description Source:https://www.crummy.com/software/BeautifulSoup/bs4/doc/",https://www.crummy.com/software/BeautifulSoup/,https://www.crummy.com/software/BeautifulSoup/bs4/doc/,"https://www.datacamp.com/tutorial/web-scraping-using-python , https://www.tutorialspoint.com/beautiful_soup/beautiful_soup_quick_guide.htm ",,,,
bedops,"anvil, bridges-2",toolkit,Bioinformatics,Sciences,Biology,"BEDOPS is an open-source command-line toolkit that performs highly efficient and scalable Boolean and other set operations, statistical calculations, archiving, conversion and other management of genomic data of arbitrary scale. Description Source:https://bedops.readthedocs.io/en/latest/",https://bedops.readthedocs.io/en/latest/,https://bedops.readthedocs.io/en/latest/content/reference.html,https://bedops.readthedocs.io/en/latest/content/usage-examples.html,,,,
bedtools,"aces, anvil, bridges-2, faster",application,Bioinformatics,Sciences,Biology,"Collectively, the bedtools utilities are a swiss-army knife of tools for a wide-range of genomics analysis tasks. The most widely-used tools enable genome arithmetic: that is, set theory on the genome. This is an older version of bedtools2. Description Source:https://bedtools.readthedocs.io/en/latest/",https://github.com/arq5x/bedtools,https://bedtools.readthedocs.io/en/latest/,"https://bedtools.readthedocs.io/en/latest/content/example-usage.html , https://sandbox.bio/tutorials/bedtools-intro ",,,,
bedtools2,expanse,application,Bioinformatics,Sciences,Biology,"Collectively, the bedtools utilities are a swiss-army knife of tools for a wide-range of genomics analysis tasks. The most widely-used tools enable genome arithmetic: that is, set theory on the genome. Description Source:https://bedtools.readthedocs.io/en/latest/",https://github.com/arq5x/bedtools2,https://bedtools.readthedocs.io/en/latest/content/bedtools-suite.html,"https://bedtools.readthedocs.io/en/latest/content/example-usage.html , https://sandbox.bio/tutorials/bedtools-intro ",,,,
berkeley-db,"expanse, kyric",library,developer support,Computer Science,"Storage, HPC Applications",Berkeley DB is a family of embedded key-value database libraries providing scalable high-performance data management services to applications. Description Source:https://docs.oracle.com/database/bdb181/,https://www.oracle.com/database/technologies/related/berkeleydb.html,https://libdb.org/docs/db/5.3.21/,"https://docs.oracle.com/database/bdb181/ , https://www.oracle.com/database/technologies/berkeleydb-db-faq.html ",,,,
berkeley-upc,faster,programming language,developer support,Computer Science,"HPC Applications, Parallel Computing",Unified Parallel C (UPC) is an extension of the C programming language designed for high performance computing on large-scale parallel machines.The language provides a uniform programming model for both shared and distributed memory hardware. Description Source: https://upc.lbl.gov/,https://upc.lbl.gov/,https://upc.lbl.gov/docs/,https://upc.lbl.gov/demos/,,,,
binutils,"aces, darwin, faster",tool,Utilities,General,General,"The GNU Binutils are a collection of binary tools. The main ones are: ld (the GNU linker), as (the GNU assembler), and gold (a new, faster, ELF only linker). Description Source:https://www.gnu.org/software/binutils/",https://www.gnu.org/software/binutils/,https://sourceware.org/binutils/docs-2.42/,https://sourceware.org/binutils/docs-2.34/ld/Options.html#Options,,,,
bio-db-hts,faster,interface,developer support,Sciences,Biology,Perl interface to HTS library for DNA sequencing. Description Source: https://metacpan.org/author/AVULLO,https://github.com/Ensembl/Bio-DB-HTS,https://metacpan.org/dist/Bio-DB-HTS,,,,,
bioawk,"anvil, faster",application,Bioinformatics,Sciences,Biology,"Bioawk is an extension to Brian Kernighan's awk, adding the support of several common biological data formats, including optionally gzip'ed BED, GFF, SAM, VCF, FASTA/Q and TAB-delimited formats with column names. Description Source: https://purduercac-applications.readthedocs.io/en/latest/Biocontainers/bioawk/bioawk.html",https://github.com/lh3/bioawk,https://github.com/lh3/bioawk,https://github.com/lh3/bioawk?tab=readme-ov-file#examples,,,,
biobambam,anvil,application,Bioinformatics,Sciences,Biology,Biobambam is a collection of tools for early stage alignment file processing. Description Source: https://purduercac-applications.readthedocs.io/en/latest/Biocontainers/biobambam/biobambam.html,https://gitlab.com/german.tischler/biobambam2,https://gitlab.com/german.tischler/biobambam2,,,,,
biocontainers,"anvil, stampede3",library,Container,Sciences,Biology,"BioContainers is a community-driven project that provides the infrastructure and basic guidelines to create, manage and distribute bioinformatics packages (e.g conda) and containers (e.g docker, singularity). Description Source:https://biocontainers-edu.readthedocs.io/en/latest/what_is_biocontainers.html",https://biocontainers.pro/,https://biocontainers-edu.readthedocs.io/en/latest/,https://biocontainers-edu.readthedocs.io/en/latest/examples.html,,,,
bioconvert,anvil,application,Bioinformatics,Sciences,Biology,Bioconvert is a collaborative project to facilitate the interconversion of life science data from one format to another. Description Source: https://purduercac-applications.readthedocs.io/en/latest/Biocontainers/bioconvert/bioconvert.html,https://github.com/bioconvert/bioconvert,https://bioconvert.readthedocs.io/en/dev/,https://bioconvert.readthedocs.io/en/dev/tutorial.html,,,,
bioformats,bridges-2,application,Bioinformatics,Sciences,Biology,"Bio-Formats is a software tool for reading and writing image data using standardized, open formats. Description Source: https://www.openmicroscopy.org/bio-formats/",https://www.openmicroscopy.org/bio-formats/,https://bio-formats.readthedocs.io/en/v7.3.0/,https://bio-formats.readthedocs.io/en/v7.3.0/about/index.html#help,,,,
biom-format,faster,library,Bioinformatics,Sciences,Biology,The BIOM file format (canonically pronounced biome) is designed to be a general-use format for representing biological sample by observation contingency tables. BIOM is a recognized standard for the Earth Microbiome Project and is a Genomics Standards Consortium supported project. Desciption Source: https://biom-format.org/,https://biom-format.org/,https://biom-format.org/documentation/index.html,"https://biom-format.org/documentation/quick_usage_examples.html#examples , https://biom-format.org/documentation/table_objects.html#examples",,,,
bioperl,"aces, faster",toolkit,"developer support, Bioinformatics",Sciences,"Biology, Computer Science","The Bioperl Project is an international association of users & developers of open source Perl tools for bioinformatics, genomics and life science. Description Source:https://bioperl.org/index.html",https://bioperl.org/index.html,https://bioperl.org/howtos/index.html,https://github.com/bioperl/bioperl-live/tree/master/examples,,,,
biopython,"aces, anvil, faster",toolkit,"developer support, Bioinformatics",Sciences,"Biology, Computer Science",Biopython is a set of freely available tools for biological computation written in Python by an international team of developers. Description Source:https://biopython.org/,https://biopython.org/,https://biopython.org/wiki/Documentation,https://biopython.org/DIST/docs/tutorial/Tutorial.html,,,,
bismark,"anvil, bridges-2, expanse",application,Bioinformatics,Sciences,Biology,"Bismark is a program to map bisulfite treated sequencing reads to a genome of interest and perform methylation calls in a single step. The output can be easily imported into a genome viewer, such as SeqMonk, and enables a researcher to analyse the methylation levels of their samples straight away. Description Source:https://www.bioinformatics.babraham.ac.uk/projects/bismark/",https://www.bioinformatics.babraham.ac.uk/projects/bismark/,https://felixkrueger.github.io/Bismark/,https://felixkrueger.github.io/Bismark/bismark/,,,,
bison,"aces, faster, ookami",tool,developer support,General,General,Bison is a general-purpose parser generator that converts an annotated context-free grammar into a deterministic LR or generalized LR (GLR) parser employing LALR(1) parser tables. Description Source:https://www.gnu.org/software/bison/,https://www.gnu.org/software/bison/,https://www.gnu.org/software/bison/manual/bison.html,"https://www.gnu.org/software/bison/manual/html_node/Examples.html , https://aquamentus.com/flex_bison.html ",,,,
blacs,darwin,library,developer support,"Computer Science, Engineering",Mathematics,The BLACS (Basic Linear Algebra Communication Subprograms) project is an ongoing investigation whose purpose is to create a linear algebra oriented message passing interface that may be implemented efficiently and uniformly across a large range of distributed memory platforms. Description Source: https://www.netlib.org/blacs/,https://www.netlib.org/blacs/,https://www.netlib.org/blacs/,https://www.netlib.org/blacs/BLACS/Examples.html,,,,
blasr,anvil,application,Bioinformatics,Sciences,Biology,"Blasr is a read mapping program that maps reads to positions in a genome by clustering short exact matches between the read and the genome, and scoring clusters using alignment. Description Source: https://purduercac-applications.readthedocs.io/en/latest/Biocontainers/blasr/blasr.html",https://github.com/PacificBiosciences/blasr,https://www.pacb.com/wp-content/uploads/SMRT-Tools-Reference-Guide-v8.0.pdf,,,,,
blast,"anvil, bridges-2, faster",application,"Bioinformatics, computational biology, genomics",Sciences,Biology,BLAST (Basic Local Alignment Search Tool) finds regions of similarity between biological sequences. The program compares nucleotide or protein sequences to sequence databases and calculates the statistical significance. Description Source: https://purduercac-applications.readthedocs.io/en/latest/Biocontainers/blast/blast.html,https://blast.ncbi.nlm.nih.gov/Blast.cgi,https://www.ncbi.nlm.nih.gov/IEB/ToolBox/CPP_DOC/doxyhtml/group__AlgoBlast.html,"https://blast.ncbi.nlm.nih.gov/doc/blast-quick-start-guide/ , https://www.youtube.com/playlist?list=PL7dF9e2qSW0azL2xOKAtxDW7QI8UU4XZ6 ",,,,
blast-plus,"anvil, expanse",tool,"Bioinformatics, developer support",Sciences,Biology,"Blast+ allows users to perform BLAST searches on their own server without size, volume and database restrictions. BLAST+ can be used with a command line so it can be integrated directly into your workflow. Description Source:https://blast.ncbi.nlm.nih.gov/doc/blast-help/downloadblastdata.html",https://blast.ncbi.nlm.nih.gov/doc/blast-help/downloadblastdata.html,https://github.com/ncbi/blast_plus_docs,https://github.com/ncbi/blast_plus_docs?tab=readme-ov-file#section-2---a-step-by-step-guide-using-the-blast-docker-image,,,,
blast+,"aces, faster, ookami",tool,"Bioinformatics, developer support",Sciences,Biology,"Blast+ allows users to perform BLAST searches on their own server without size, volume and database restrictions. BLAST+ can be used with a command line so it can be integrated directly into your workflow. Description Source:https://blast.ncbi.nlm.nih.gov/doc/blast-help/downloadblastdata.html",https://blast.ncbi.nlm.nih.gov/doc/blast-help/downloadblastdata.html,https://github.com/ncbi/blast_plus_docs,https://github.com/ncbi/blast_plus_docs?tab=readme-ov-file#section-2---a-step-by-step-guide-using-the-blast-docker-image,,,,
blat,"bridges-2, expanse",application,Bioinformatics,Sciences,Biology,BLAT on DNA is designed to quickly find sequences of 95% and greater similarity of length 25 bases or more. It may miss more divergent or shorter sequence alignments. It will find perfect sequence matches of 20 bases. Description Source:https://genome.ucsc.edu/cgi-bin/hgBlat,https://kentinformatics.com/,https://kentinformatics.com/documentation,https://genome.ucsc.edu/training/index.html,,,,
blender,"aces, faster",application,"Simulation, Modeling, Visualization",General,General,"Blender is the free and open source 3D creation suite. It supports the entirety of the 3D pipeline—modeling, rigging, animation, simulation, rendering, compositing and motion tracking, even video editing and game creation. Description Source:https://www.blender.org/about/",https://www.blender.org/,https://docs.blender.org/manual/en/latest/,"https://www.youtube.com/watch?v=TPrnSACiTJ4&list=PLjEaoINr3zgHs8uzT3yqe4iHGfkCmMJ0P , https://en.wikibooks.org/wiki/Blender_3D:_Noob_to_Pro ",,,,
blis,"aces, anvil, darwin, faster, ookami",framework,developer support,Engineering,Mathematics,BLIS is an award-winning portable software framework for instantiating high-performance BLAS-like dense linear algebra libraries. Description Source:https://github.com/flame/blis,https://github.com/flame/blis,https://github.com/flame/blis/blob/master/docs/BLISTypedAPI.md,"https://github.com/flame/blis/blob/master/docs/Testsuite.md , https://github.com/flame/blis/tree/master/examples/oapi ",,,,
blobtools,anvil,application,"Bioinformatics, Visualization",Sciences,Biology,"Blobtools is a modular command-line solution for visualisation, quality control and taxonomic partitioning of genome datasets. Description Source: https://purduercac-applications.readthedocs.io/en/latest/Biocontainers/blobtools/blobtools.html",https://github.com/DRL/blobtools,https://blobtools.readme.io/docs/what-is-blobtools,https://blobtools.readme.io/docs/my-first-blobplot,,,,
blosc2,"aces, faster",library,developer support,General,General,"Blosc, an extremely fast, multi-threaded, meta-compressor library. Description Source: https://www.blosc.org/pages/",https://github.com/Blosc/c-blosc2,https://www.blosc.org/c-blosc2/c-blosc2.html,"https://github.com/Blosc/c-blosc2/tree/main/examples , https://www.youtube.com/watch?v=ER12R7FXosk",,,,
bmge,anvil,application,Bioinformatics,Sciences,"Biology, Phylogeny",Bmge is a program that selects regions in a multiple sequence alignment that are suited for phylogenetic inference. Description Source: https://purduercac-applications.readthedocs.io/en/latest/Biocontainers/bmge/bmge.html,https://bio.tools/bmge,https://gensoft.pasteur.fr/docs/BMGE/1.12/,,,,,
bohrium,faster,tool,Utilities,General,General,"Bohrium provides automatic acceleration of array operations in Python/NumPy, C, and C++ targeting multi-core CPUs and GP-GPUs. Forget handcrafting CUDA/OpenCL to utilize your GPU and forget threading, mutexes and locks to utilize your multi-core CPU, just use Bohrium! Description Source: https://bohrium.readthedocs.io/index.html",https://github.com/bh107/bohrium,https://bohrium.readthedocs.io/index.html,https://bohrium.readthedocs.io/users/cpp.html#code-snippets,,,,
bokeh,"aces, faster",library,Visualization,General,General,"Bokeh is a Python library for creating interactive visualizations for modern web browsers. It helps you build beautiful graphics, ranging from simple plots to complex dashboards with streaming datasets. Description Source:https://docs.bokeh.org/en/latest/",https://bokeh.org/,https://docs.bokeh.org/en/latest/,"https://realpython.com/python-data-visualization-bokeh/ , https://programminghistorian.org/en/lessons/visualizing-with-bokeh ",,,,
boost,"aces, anvil, bridges-2, darwin, delta, expanse, faster, kyric, ookami, stampede3",library,general,Engineering,Mathematics,"BLAST (Basic Local Alignment Search Tool) is a bioinformatics software program used for comparing primary biological sequence information, such as the amino-acid sequences of proteins or the nucleotides of DNA and/or RNA sequences. It's widely used for identifying similarities, understanding evolutionary relationships, and finding functional and structural homologues among sequences in large databases, making it a crucial tool in genomic and proteomic research.",https://www.boost.org/,https://www.boost.org/doc/libs/1_84_0/,"https://www.boost.org/doc/libs/1_77_0/more/getting_started/index.html , https://theboostcpplibraries.com/",,,,
boost.mpi,aces,library,Scientific Library,Engineering,Mathematics,Boost.MPI is a library for message passing in high-performance parallel applications. Description Source:https://www.boost.org/doc/libs/1_84_0/doc/html/mpi/tutorial.html,https://github.com/boostorg/mpi,https://www.boost.org/doc/libs/1_84_0/doc/html/mpi.html,https://www.boost.org/doc/libs/1_84_0/doc/html/mpi/tutorial.html,,,,
boost.python,"aces, faster",library,Scientific Library,Engineering,Mathematics,Boost.Python is a C++ library which enables seamless interoperability between C++ and the Python programming language. Description Source:https://www.boost.org/doc/libs/1_84_0/libs/python/doc/html/index.html,https://github.com/boostorg/python,https://www.boost.org/doc/libs/1_84_0/libs/python/doc/html/index.html,https://boostorg.github.io/python/doc/html/tutorial/index.html,,,,
botorch,faster,library,Scientific Library,Sciences,"Computer Science, Machine Learning","BoTorch (pronounced ""bow-torch"" / ˈbō-tȯrch) is a library for Bayesian Optimization research built on top of PyTorch, and is part of the PyTorch ecosystem. Description Source: https://botorch.org/docs/introduction",https://botorch.org/,https://botorch.org/docs/introduction,https://botorch.org/tutorials/,,,,
bottleneck,faster,library,Scientific Library,"Sciences, Engineering","Computer Science, Mathematics",Bottleneck is a collection of fast NumPy array functions written in C. Description Source: https://github.com/pydata/bottleneck,https://github.com/pydata/bottleneck,https://bottleneck.readthedocs.io/en/latest/,,,,,
bowtie,"anvil, faster",application,Bioinformatics,Sciences,Biology,"Bowtie is an ultrafast, memory-efficient short read aligner geared toward quickly aligning large sets of short DNA sequences (reads) to large genomes. Description Source:https://bowtie-bio.sourceforge.net/manual.shtml",https://bowtie-bio.sourceforge.net/index.shtml,https://bowtie-bio.sourceforge.net/manual.shtml,https://bowtie-bio.sourceforge.net/tutorial.shtml,,,,
bowtie2,"anvil, bridges-2, expanse, faster",application,Bioinformatics,Sciences,Biology,Bowtie 2 is an ultrafast and memory-efficient tool for aligning sequencing reads to long reference sequences. It is particularly good at aligning to relatively long (e.g. mammalian) genomes. Description Source:https://github.com/BenLangmead/bowtie3,https://bowtie-bio.sourceforge.net/bowtie2/index.shtml,https://bowtie-bio.sourceforge.net/bowtie2/manual.shtml,https://bowtie-bio.sourceforge.net/bowtie2/manual.shtml#getting-started-with-bowtie-2-lambda-phage-example,,,,
bracken,anvil,application,Bioinformatics,Sciences,Biology,Bracken (Bayesian Reestimation of Abundance with KrakEN) is a highly accurate statistical method that computes the abundance of species in DNA sequences from a metagenomics sample. Description Source: https://purduercac-applications.readthedocs.io/en/latest/Biocontainers/bracken/bracken.html,https://github.com/jenniferlu717/Bracken,https://ccb.jhu.edu/software/bracken/index.shtml?t=manual,https://github.com/jenniferlu717/Bracken?tab=readme-ov-file#example-abundance-estimation,,,,
braker2,anvil,application,Bioinformatics,Sciences,Biology,BRAKER is a pipeline for fully automated prediction of protein coding gene structures with GeneMark-ES/ET and AUGUSTUS in novel eukaryotic genomes. Description Source: https://purduercac-applications.readthedocs.io/en/latest/Biocontainers/braker2/braker2.html,https://github.com/Gaius-Augustus/BRAKER,https://bioinf.uni-greifswald.de/augustus/binaries/tutorial2018/BRAKER_userguide.pdf,https://www.youtube.com/watch?v=UXTkJ4mUkyg,,,,
brass,anvil,application,Bioinformatics,Sciences,Biology,Brass is used to analyze one or more related BAM files of paired-end sequencing to determine potential rearrangement breakpoints. Description Source: https://purduercac-applications.readthedocs.io/en/latest/Biocontainers/brass/brass.html,https://github.com/cancerit/BRASS,https://github.com/cancerit/BRASS,,,,,
breseq,anvil,application,Bioinformatics,Sciences,Biology,Breseq is a computational pipeline for the analysis of short-read re-sequencing data. Description Source: https://purduercac-applications.readthedocs.io/en/latest/Biocontainers/breseq/breseq.html,https://github.com/barricklab/breseq,https://barricklab.org/twiki/pub/Lab/ToolsBacterialGenomeResequencing/documentation/,"https://barricklab.org/twiki/pub/Lab/ToolsBacterialGenomeResequencing/documentation/tutorial_clones.html , https://barricklab.org/twiki/pub/Lab/ToolsBacterialGenomeResequencing/documentation/tutorial_populations.html , https://barricklab.org/twiki/pub/Lab/ToolsBacterialGenomeResequencing/documentation/tutorial_barcoded_targeted.html",,,,
brotli,"aces, faster",tool,developer support,General,General,"Brotli is a generic-purpose lossless compression algorithm that compresses data using a combination of a modern variant of the LZ77 algorithm, Huffman coding and 2nd order context modeling, with a compression ratio comparable to the best currently available general-purpose compression methods. Description Source: https://brotli.org/",https://brotli.org/,https://github.com/google/brotli,https://kinsta.com/blog/brotli-compression/,,,,
brotli-python,aces,tool,"Python Module, developer support",General,General,"Brotli is a generic-purpose lossless compression algorithm that compresses data using a combination of a modern variant of the LZ77 algorithm, Huffman coding and 2nd order context modeling, with a compression ratio comparable to the best currently available general-purpose compression methods. Description Source:https://brotli.org/",https://github.com/python-hyper/brotlicffi,https://python-hyper.org/projects/brotlipy/en/latest/,https://github.com/python-hyper/brotlicffi/tree/main/example,,,,
brunsli,"aces, faster",tool,developer support,General,General,Brunsli is a lossless JPEG repacking library. Brunsli allows for a 22% decrease in file size while allowing the original JPEG to be recovered byte-by-byte. Description Source:https://github.com/google/brunsli,https://brunsli.dev/,https://github.com/google/brunsli,https://github.com/google/brunsli?tab=readme-ov-file#build-instructions,,,,
build,faster,application,developer support,General,General,"A simple, correct Python build frontend. Description Source: https://github.com/pypa/build",https://github.com/pypa/build,https://build.pypa.io/en/stable/,,,,,
busco,"anvil, bridges-2",application,Bioinformatics,Sciences,Biology,Benchmarking Universal Single-Copy Orthologs (BUSCO) is used for assessing genome assembly and annotation completeness.  Description Source:https://gitlab.com/ezlab/busco,https://busco.ezlab.org/,https://busco.ezlab.org/busco_userguide.html,https://busco.ezlab.org/busco_userguide.html#running-busco,,,,
bustools,anvil,application,Bioinformatics,Sciences,Biology,Bustools is a program for manipulating BUS files for single cell RNA-Seq datasets. Description Source: https://purduercac-applications.readthedocs.io/en/latest/Biocontainers/bustools/bustools.html,https://bustools.github.io/,https://bustools.github.io/manual,https://www.kallistobus.tools/applications/,,,,
bwa,"aces, anvil, bridges-2, expanse, faster",application,Bioinformatics,Sciences,Biology,"BWA is a software package for mapping low-divergent sequences against a large reference genome, such as the human genome. Description Source:https://bio-bwa.sourceforge.net/",https://bio-bwa.sourceforge.net/,https://bio-bwa.sourceforge.net/bwa.shtml,https://bioinformatics-core-shared-training.github.io/cruk-bioinf-sschool/Day1/Sequence%20Alignment_July2015_ShamithSamarajiwa.pdf,,,,
bwameth,anvil,application,Bioinformatics,Sciences,Biology,Bwameth is a tool for fast and accurante alignment of BS-Seq reads. Description Source: https://purduercac-applications.readthedocs.io/en/latest/Biocontainers/bwameth/bwameth.html,https://github.com/brentp/bwa-meth,https://github.com/brentp/bwa-meth,https://github.com/brentp/bwa-meth/tree/master/example/,,,,
byacc,expanse,tool,developer support,General,General,Berkeley Yacc is an LALR(1) parser generator. Berkeley Yacc has been made as compatible as possible with AT&T Yacc. Berkeley Yacc can accept any input specification that conforms to the AT&T Yacc documentation. Description Source: https://github.com/grandseiken/byacc,https://invisible-island.net/byacc/,https://invisible-island.net/byacc/manpage/yacc.html,,,,,
bzip2,"aces, expanse, faster, kyric",tool,Utilities,General,General,"bzip2 is a freely available, patent free, high-quality data compressor. It typically compresses files to within 10% to 15% of the best available techniques (the PPM family of statistical compressors), whilst being around twice as fast at compression and six times faster at decompression. Description Source:https://sourceware.org/bzip2/",https://sourceware.org/bzip2/,https://sourceware.org/bzip2/manual/manual.html,https://www.tutorialspoint.com/unix_commands/bzip2.htm,,,,
c-ares,"aces, faster",library,Utilities,General,General,c-ares is a C library for asynchronous DNS requests (including name resolves). Description Source: https://c-ares.org/,https://c-ares.org/,https://c-ares.org/docs.html,,,,,
cactus,anvil,application,"modeling, genomics, bioinformatics",Sciences,Biology,"Cactus is a reference-free whole-genome alignment program, as well as a pagenome graph construction toolkit. Description Source = https://github.com/ComparativeGenomicsToolkit/cactus?tab=readme-ov-file",https://github.com/ComparativeGenomicsToolkit/cactus?tab=readme-ov-file,https://www.cactuscode.org/documentation/ReferenceManual.pdf,"https://www.cactuscode.org/documentation/tutorials/index.html , https://www.cactuscode.org/documentation/UsersGuide.pdf ",,,,
