Software,RP Name,Software Type,Software Class,Research Field,Research Area,Research Discipline,Software Description,Core Features,General Tags,Software's Web Page,Software Documentation,Example Software Use,RP Software Documentation,Version Info,AI Description,Example Use
clever-toolkit,Anvil,,,,,,Clever-toolkit is a collection of tools to discover and genotype structural variations in genomes from paired-end sequencing reads. The main software is written in C++ with some auxiliary scripts in Python.,,,,,,Anvil: https://www.rcac.purdue.edu/software/clever-toolkit,Anvil: 2.4,,
clhep,"Aces, Faster",Computational Tool,Library,Physical Sciences,High Energy Physics,Physics,,"1. Vector and matrix classes
2. Random number generators
3. Physical constants and units
4. Geometry and kinematics classes
5. Reference counting and smart pointers
6. Event data model classes","C++ Library, High Energy Physics, Hep Applications",,,,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 2.4.6.2
Faster: 2.4.5.1, 2.4.6.4","CLHEP (Class Library for High Energy Physics) is a library of C++ classes specifically designed for high energy physics (HEP) applications. It provides a set of utility classes for HEP-specific tasks, such as vectors, matrices, random number generation, and units of measurement.",
climetlab,Aces,Library,Data Analysis & Visualization,Earth & Environmental Sciences,Climate & Global Dynamics,Earth & Environmental Sciences,"CliMetLab is a Python package aiming at simplifying access to climate and meteorological datasets, allowing users to focus on science instead of technical issues such as data access and data formats. 
Description Source: https://climetlab.readthedocs.io/en/latest/index.html","Accessing Climate Datasets, Manipulating Climate Data, Visualizing Climate Data, Convenient Data Exploration Tools","Python Library, Climate Data, Data Visualization",https://github.com/ecmwf/climetlab,https://climetlab.readthedocs.io/en/latest/,https://climetlab.readthedocs.io/en/latest/firststeps.html,Aces: https://hprc.tamu.edu/software/aces/,Aces: 0.12.6,"climetlab is a Python library designed for easy access, manipulation, and visualization of climate data. It aims to simplify the process of working with climate datasets by providing a unified interface and tools for data exploration.",
clip,Aces,Deep Learning,Machine Learning Framework,Computer & Information Sciences,Natural Language Processing,Artificial Intelligence & Intelligent Systems,"CLIP (Contrastive Language-Image Pre-Training) is a neural network trained on a variety of (image, text) pairs. It can be instructed in natural language to predict the most relevant text snippet, given an image, without directly optimizing for the task, similarly to the zero-shot capabilities of GPT-2 and 3. 
Description Source: https://github.com/openai/CLIP","1. Pretraining on large-scale image-text datasets
2. Learning joint representations of images and text
3. Enhancing visual-linguistic understanding
4. Facilitating downstream tasks such as zero-shot learning, image-text retrieval, and visual question answering","Machine Learning, Deep Learning, Image-Text Representation, Pretraining",https://openai.com/research/clip,https://github.com/openai/CLIP/blob/main/notebooks/Interacting_with_CLIP.ipynb,https://github.com/openai/CLIP#usage,Aces: https://hprc.tamu.edu/software/aces/,Aces: 20230220-Cuda-11.7.0,CLIP (Contrastive Language-Image Pretraining) is a framework for learning joint representations of images and text. It is designed to pretrain on large scale image-text datasets to learn a powerful visual-linguistic understanding.,
clonalframeml,Anvil,,,Biological Sciences,,,ClonalFrameML is a software package that performs efficient inference of recombination in bacterial genomes.,1. Inference of recombination events in bacterial and archaeal genomes. 2. Reconstruction of clonal relationships between individuals. 3. Maximum likelihood framework for accurate estimation.,"Bioinformatics, Hpc Tools",,,,Anvil: https://www.rcac.purdue.edu/software/clonalframeml,Anvil: 1.11,ClonalFrameML is a software for inferring recombination in bacterial and archaeal genomes. It uses a maximum likelihood framework to detect recombination events and reconstruct the clonal relationships between individuals.,
clp,Faster,Solver,Optimization Software,Engineering & Technology,,"Operations Research, Industrial Engineering",,"Standalone Linear Programming Solver, Framework For Building Custom Optimization Algorithms, Efficient Solution Of Large-Scale Linear Programming Problems","Linear Programming, Optimization, Large-Scale Problems, Open-Source",,,,Faster: https://hprc.tamu.edu/software/faster/,Faster: 1.17.7,"CLP (Cbc, Lapack, and ParallelCbc) is an open-source linear programming solver that provides both a standalone solver and a framework for building custom optimization algorithms. It is designed to solve large-scale linear programming problems efficiently and offers a range of features for linear optimization.",
clust,Anvil,Data Analysis Tool,Clustering Software,Other Computer & Information Sciences,,,Clust is a fully automated method for identification of clusters (groups) of genes that are consistently co-expressed (well-correlated) in one or more heterogeneous datasets from one or multiple species.,"1. Clustering heterogeneous time series data
2. Identifying similarity patterns among time series
3. Grouping time series data based on specified criteria
4. Analyzing patterns and trends within clusters","Clustering, Time Series Data, Pattern Identification",,,,Anvil: https://www.rcac.purdue.edu/software/clust,Anvil: 1.17.0,Clust is a software for clustering heterogeneous time series data. It allows users to identify similarity patterns and group time series data together based on various criteria.,
clustalw,Anvil,Tool,Computational Software,Biological Sciences,,,Clustalw is a general purpose multiple alignment program for DNA or proteins.,"1. Multiple sequence alignment for DNA or protein sequences
2. Identifies homologous regions and conserved motifs
3. Supports various alignment algorithms
4. Generates phylogenetic trees based on aligned sequences","Bioinformatics, Sequence Alignment",,,,Anvil: https://www.rcac.purdue.edu/software/clustalw,Anvil: 2.1,ClustalW is a widely used multiple sequence alignment program for DNA or protein sequences. It aligns multiple sequences using various algorithms to identify homologous regions and conserved motifs.,
clustalw2,Faster,Alignment Tool,Bioinformatics,Biological Sciences,,,,"Multiple Sequence Alignment For DNA Or Proteins, Phylogenetic Tree Generation, Visualization Of Alignments, Alignment Quality & Reliability Analysis","Bioinformatics, Computational Biology, Sequence Analysis",,,,Faster: https://hprc.tamu.edu/software/faster/,Faster: 2.1,ClustalW2 is a general purpose multiple sequence alignment program for DNA or proteins. It produces biologically meaningful multiple sequence alignments of divergent sequences.,
cluster-tools,Ookami,,,,,,,,,https://github.com/constantinpape/cluster_tools,https://github.com/constantinpape/cluster_tools/blob/master/cluster_tools/workflows.py,https://github.com/constantinpape/cluster_tools/tree/master/example,Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami,,,
cm-pmix3,"Expanse, Ookami",System & Process Management,Library,Engineering & Technology,Infrastructure & Instrumentation,Other Computer & Information Sciences,,"It offers capabilities for process monitoring, reporting, and control, with support for spawning, killing, and monitoring individual processes within a job. The library is designed to work seamlessly with various job schedulers and resource managers.","Process Management, High-Performance Computing, Job Scheduling",https://pmix.github.io/standard,https://pmix.github.io/uploads/2019/02/pmix-standard-3.1.pdf,https://openpmix.github.io/support/how-to/,"Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules 
Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami",Expanse: 3.1.7,"cm-pmix3 is a lightweight, high-performance library that provides process management and control functions for large-scale computing environments.",
cmake,"Aces, Anvil, Darwin, Delta, Expanse, Faster, Kyric, Ookami, Stampede3",Developer Tools,Build Automation Tools,Engineering & Technology,Software Development,"Software Engineering, Systems, & Development","CMake is the de-facto standard for building C++ code, with over 2 million downloads a month. It’s a powerful, comprehensive solution for managing the software build process. 
Description Source: https://cmake.org/","1. Cross-platform build system
2. Automated dependency resolution
3. Package generation for multiple platforms
4. Integrated support for popular development environments
5. Extensible through custom modules
6. Supports in-place and out-of-place builds
7. Versatile project configuration options","Build System, Cross-Platform, Software Development",https://cmake.org/,https://cmake.org/cmake/help/latest/,"https://cmake.org/getting-started/, https://cmake.org/cmake/help/latest/guide/tutorial/index.html 
https://www.youtube.com/watch?v=wl2Srog-j7I","Aces: https://hprc.tamu.edu/software/aces/ 
Anvil: https://www.rcac.purdue.edu/software/cmake 
Delta: https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/software.html 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules 
Faster: https://hprc.tamu.edu/software/faster/ 
Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami 
Stampede3: https://tacc.utexas.edu/use-tacc/software-list/","Aces: 3.18.4, 3.20.1, 3.21.1, 3.22.1, 3.23.1, 3.24.3, 3.26.3, 3.27.6
Anvil: 3.20.0
Delta: 3.20.2, 3.27.9
Expanse: Bpzre3Q, Rc2Aosa, ...
Faster: 3.11.4, 3.15.3, 3.16.4, 3.18.4, 3.20.1, 3.21.1, 3.22.1, 3.23.1, 3.24.3, 3.26.3, 3.27.6
Kyric: 3.16.2","CMake is an open-source, cross-platform family of tools designed to build, test, and package software. It is used to control the software compilation process using simple platform and compiler-independent configuration files.",
cmd,Ookami,Framework,Development Tools,Computer & Information Sciences,,,,1. Enables creation of command-line interfaces. 2. Supports the definition of commands and functions. 3. Facilitates interactive sessions. 4. Provides a customizable prompt. 5. Allows command completion and history functionality.,"Command Line, Python Module",https://docs.nvidia.com/dgx-superpod/administration-guide-dgx-superpod/latest/cluster-management-daemon.html#,https://support.brightcomputing.com/manuals/9.2/developer-manual.pdf,https://www.hpe.com/psnow/resources/ebooks/a00113955en_us_v2/Manage_an_HSM_System_with_Bright.html,Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami,,The cmd module in Python provides a framework for building interactive command line applications. It allows developers to easily create command-line interfaces by defining a set of commands and their associated functions.,
cmjob,"Expanse, Ookami",,,,,,,"Automates Job Submissions On Hpc Clusters, Monitors Job Statuses, Organizes Job Outputs, Facilitates Management Of Multiple Computational Jobs","Hpc, Computational Materials Science, Python Library",https://docs.nvidia.com/dgx-superpod/administration-guide-dgx-superpod/latest/cluster-management-daemon.html#,https://support.brightcomputing.com/manuals/9.2/developer-manual.pdf,https://www.hpe.com/psnow/resources/ebooks/a00113955en_us_v2/Manage_an_HSM_System_with_Bright.html,"Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules 
Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami",Expanse: Cmjob,"cmjob is a Python-based tool for computational materials science that aids in automating the submission of multiple jobs on high-performance computing clusters. It simplifies the process of handling multiple job submissions, tracking job statuses, and organizing job outputs.",
cnvkit,Anvil,Analysis Tool,Genomics,Biological Sciences,Molecular Biology,Genetics,CNVkit is a command-line toolkit and Python library for detecting copy number variants and alterations genome-wide from high-throughput sequencing.,"Detection & Genotyping Of Copy Number Variations (Cnvs), Handling Shallow Coverage Whole-Exome & Panel Target Sequencing Data, Analysis Of Tumor-Normal Pairs","Bioinformatics, Hpc Tools, Computational Software",,,,Anvil: https://www.rcac.purdue.edu/software/cnvkit,Anvil: 0.9.9-Py,CNVkit is a software toolkit for copy number variation (CNV) detection and genotyping from targeted DNA sequencing data. It is designed to handle shallow coverage whole-exome and panel target sequencing from tumor-normal pairs.,
cnvnator,"Anvil, Faster",Tool,Bioinformatics,Biological Sciences,Structural Genomics,Genetics,Cnvnator is a tool for discovery and characterization of copy number variation (CNV) in population genome sequencing data.,"Detection Of Copy Number Variations (Cnvs), Genotyping, Utilizes Whole-Genome Sequencing Data, Identification Of Structural Variations In The Genome","Cnv Detection, Whole-Genome Sequencing, Genotyping, Structural Variations",,,,"Anvil: https://www.rcac.purdue.edu/software/cnvnator 
Faster: https://hprc.tamu.edu/software/faster/","Anvil: 0.4.1
Faster: 0.4.1",CNVnator is a tool designed for the detection of copy number variations (CNVs) and genotyping using whole-genome sequencing data. It is particularly useful in studying structural variations in the human genome.,
cobaya,Faster,Analysis,Computational Tool,Physical Sciences,Cosmology,Astronomy & Planetary Sciences,,"Bayesian Analysis Of Physical & Cosmological Models, User-Friendly Model Definition Interface, Parameter Estimation & Sampling From Posterior Distributions","Bayesian Analysis, Physical Models, Cosmological Models",,,,Faster: https://hprc.tamu.edu/software/faster/,Faster: 3.2.2,"Cobaya is an open-source platform for Bayesian analysis of physical and cosmological models. It provides a user-friendly interface for defining models, running parameter estimation, and sampling from posterior distributions.",
code-server,Faster,Development Tool,Integrated Development Environment (Ide),Computer & Information Sciences,,,,"Remote Development In The Browser, Access To Visual Studio Code Environment, Real-Time Collaboration Features, Support For Extensions & Plugins, Integrated Terminal For Running Commands","Remote Development, Visual Studio Code, Browser-Based Coding, Collaboration, Coding Environment",,,,Faster: https://hprc.tamu.edu/software/faster/,"Faster: 4.5.1, 4.8.3, 4.9.1, 4.19.1","Code-server is a tool that allows you to run a Visual Studio Code instance in the browser, making it convenient for remote development, collaboration, and accessing your coding environment from anywhere.",
coinfinder,Anvil,Search Tool,Image Recognition,Engineering & Technology,Image Processing,Other,Coinfinder is an algorithm and software tool that detects genes which associate and dissociate with other genes more often than expected by chance in pangenomes.,"Image Analysis For Coin Recognition, Search Functionality For Locating Specific Coins, User-Friendly Interface For Ease Of Use","Image Analysis, Coin Recognition, Search Tool",,,,Anvil: https://www.rcac.purdue.edu/software/coinfinder,Anvil: 1.2.0,CoinFinder is a software tool designed for locating specific coins in large image datasets. It provides a user-friendly interface for efficiently searching and identifying coins based on their features.,
coinutils,Faster,Optimization Software,Library,Mathematics,Optimization,Applied Mathematics,"CoinUtils is an open-source collection of classes and helper functions that are generally useful to multiple COIN-OR projects. The project includes classes for storing and manipulating sparse matrices and vectors, performing matrix factorization, parsing input files in standard formats, building representations of mathematical programs, comparing floating point numbers with a tolerance, etc. 
Description Source: https://www.coin-or.org/projects/#ffs-tabbed-12 ","1. Linear and integer programming utilities
2. LP and MIP file format conversion tools
3. Mathematical programming libraries for optimization
4. Compatible with other COIN-OR packages like Clp and Cbc","Optimization, Operations Research, Mathematical Programming",https://github.com/coin-or/CoinUtils,https://coin-or.github.io/CoinUtils/Doxygen/index.html,https://coin-or.github.io/user_introduction.html,Faster: https://hprc.tamu.edu/software/faster/,Faster: 2.11.6,"CoinUtils is an open-source C++ library that provides utilities and tools for optimization problems. It is part of the COIN-OR project, a collection of operations research software tools.",
colabfold,"Aces, Faster",Protein Structure Prediction Tool,Web-Based Tool,Biological Sciences,Protein Structure Prediction,Bioinformatics,"ColabFold is a web-based tool that leverages artificial intelligence to predict protein structures rapidly and accurately, making cutting-edge protein folding accessible to researchers without requiring extensive computational resources. It builds on the technology of AlphaFold by DeepMind, providing a user-friendly platform for scientific exploration and discovery in the field of bioinformatics and structural biology.","Combines Deep Learning & Biophysical Modeling, Protein Structure Prediction, User-Friendly Interface","Protein Structure Prediction, Deep Learning, Biophysical Modeling",https://github.com/sokrypton/ColabFold,https://github.com/sokrypton/ColabFold/wiki,"https://docs.google.com/presentation/d/1mnffk23ev2QMDzGZ5w1skXEadTe54l8-Uei6ACce8eI/edit#slide=id.p 
https://www.youtube.com/watch?v=Rfw7thgGTwI ","Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 1.5.2-Cuda-11.7.0
Faster: 1.3.0-Cuda-11.3.1",ColabFold is a collaborative project that aims to bring together deep learning and biophysical modeling for protein structure prediction. It provides an easy-to-use interface for researchers to perform protein folding predictions using state-of-the-art techniques.,
colossal-ai,Faster,Library,Machine Learning Library,Computer & Information Sciences,Deep Learning,Artificial Intelligence & Intelligent Systems,,"1. Simplified design of complex neural networks
2. Easy training and evaluation of neural network models
3. High-level interface for experimenting with different architectures and algorithms
4. Integration with popular deep learning frameworks
5. Supports distributed training for large-scale models","Deep Learning, Neural Networks, Machine Learning",,,,Faster: https://hprc.tamu.edu/software/faster/,,"Colossal-AI is an open-source library that simplifies the design, training, and evaluation of complex neural networks for deep learning tasks. It provides a high-level interface that allows researchers and practitioners to easily experiment with various neural network architectures and algorithms.",
colossalai,Faster,Open Source,Deep Learning Framework,Computer & Information Sciences,"Deep Learning, Machine Learning",Artificial Intelligence & Intelligent Systems,,"1. Large-scale distributed training capabilities
2. Efficient model serving for deployment
3. Unified platform for building and training deep learning models
4. Support for a wide range of deep learning architectures and algorithms","Deep Learning Framework, Large-Scale Training, Model Serving",,,,Faster: https://hprc.tamu.edu/software/faster/,"Faster: 0.1.8-Cuda-11.3.1, 0.1.13-Cuda-11.3.1","ColossalAI is an open-source deep learning framework that focuses on large-scale distributed training and efficient model serving. It provides a unified platform for researchers and practitioners to build, train, and deploy deep learning models at scale.",
compiler,Kyric,Compiler,Development Tools,Computer & Information Sciences,,,,"Translation Of High-Level Programming Languages Into Machine Language, Optimization Of Code For Better Performance, Error Checking & Debugging Capabilities, Generation Of Executable Files","Compiler, Software Development, Programming",,,,,"Kyric: Latest, 2021.1.1","A compiler is a special program that processes statements written in a particular programming language and turns them into machine language or ""code"" that a computer's processor uses. It typically acts as a translator that converts high-level programming languages into machine language.",
compiler-rt,Kyric,Library,Compiler Runtime,Computer & Information Sciences,"Software Engineering, Systems, & Development",Computer Science,,"Runtime Support Libraries For Compiler-Generated Code, Designed For Use With The Llvm Compiler Infrastructure, Implements Runtime Parts Of Language Features Not Directly Supported By The Compiler","Runtime Library, Compiler Support, Low-Level Support, Language Features",,,,,"Kyric: Latest, 2021.1.1",compiler-rt stands for Compiler Runtime Library. It is a collection of runtime libraries that provide low-level support for compiler-generated code. It is designed to be used with the LLVM compiler infrastructure and is commonly used in conjunction with Clang. The compiler-rt libraries implement runtime parts of the language features that are not supported directly by the compiler.,
compiler-rt32,Kyric,Runtime Library,Development Library,Computer & Information Sciences,Systems Software,Computer Science,,"1. Memory error detection using sanitizers
2. Built-in functions for optimized operations
3. Support libraries for compiler runtime functions
4. Designed for 32-bit architecture compilers
5. Integration with compiler toolchains","Compiler, Runtime Library, 32-Bit Architecture",,,,,"Kyric: Latest, 2021.1.1","The compiler-rt32 project is a runtime library that provides functionality for compilers in the 32-bit architecture. It includes various runtime components such as sanitizers, builtins, and support libraries for handling memory operations and error detection.",
compiler32,Kyric,Development Tools,Compiler,Computer & Information Sciences,,,,"Support For Multiple Programming Languages, Optimization Techniques, Efficient Compilation Process","Compiler, Software Development, Programming",,,,,"Kyric: Latest, 2021.1.1",compiler32 is a lightweight and efficient compiler software designed for compiling source code into executable programs. It supports various programming languages and optimization techniques to enhance the performance of the compiled code.,
compress-raw-zlib,Faster,Compression & Decompression,Library,Computer & Information Sciences,,,,"Key features include raw Zlib compression and decompression without any header or wrapper data, enabling direct interaction with Zlib streams. The library offers efficient compression and decompression operations for data processing.","Compression, Decompression, Raw Zlib, Library",,,,Faster: https://hprc.tamu.edu/software/faster/,Faster: 2.202,"compress-raw-zlib is a raw Zlib compression and decompression library written in C for Python, providing low-level access to Zlib compression and decompression functionality.",
comsol,Bridges-2,Simulation Software,Engineering & Technology,Engineering & Technology,Engineering,,"COMSOL is an advanced simulation software that provides a finite element analysis, solver, and multiphysics simulation capabilities. It allows for the modeling of complex engineering and scientific problems involving coupled phenomena across fields like electromagnetics, mechanics, fluid dynamics, and chemical engineering, offering a versatile platform for both research and industrial applications.","Multiphysics Simulations, Finite Element Analysis, Customizable Modeling Environment, Interactive Simulation Tools, Comprehensive Physics Libraries, Post-Processing Capabilities","Simulation, Modeling, Physics, Engineering, Optimization",https://www.comsol.com/,https://doc.comsol.com/6.2/docserver/#!/com.comsol.help.comsol/helpdesk/helpdesk.html,https://www.comsol.com/support/learning-center,Bridges-2: https://www.psc.edu/resources/software/comsol,Bridges-2: 6.1,"COMSOL is a platform for modeling and simulating physics-based systems. It offers a wide range of tools for multiphysics simulations, allowing users to analyze and optimize designs in various scientific and engineering fields.",
concoct,Anvil,Data Analysis Tool,Bioinformatics Tool,Biological Sciences,Metagenomics,Environmental Biology,"Concoct is a program for unsupervised binning of metagenomic contigs by using nucleotide composition, coverage data in multiple samples and linkage data from paired end reads.","1. Metagenomic contig binning
2. Utilizes nucleotide composition, coverage, and linkage information
3. Supports multiple samples analysis
4. Facilitates the identification of microbial populations in environmental samples","Metagenomics, Bioinformatics, Genomics",,,,Anvil: https://www.rcac.purdue.edu/software/concoct,Anvil: 1.1.0,"Concoct is a software tool designed for the binning of metagenomic contigs by utilizing nucleotide composition, coverage across multiple samples, and linkage information derived from paired-end reads.",
conda-env,Delta,Command Line Tool,Package Management,Computer & Information Sciences,,,,1. Create new conda environments. 2. Export and share conda environments. 3. List existing conda environments. 4. Remove conda environments. 5. Update conda environments with new packages.,"Package Management, Environment Management",,,,Delta: https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/software.html,Delta: Cegan-Py3.9.18,"Conda-env is a command-line tool that allows users to create, export, list, remove, and update conda environments. Conda is an open-source package management system and environment management system that runs on Windows, macOS, and Linux.",
control-freec,Anvil,Bioinformatics Tool,Genomic Analysis Tool,Biological Sciences,Cancer Genetics,Genetics,Control-freec is a tool for detection of copy-number changes and allelic imbalances (including LOH) using deep-sequencing data.,"Control-FREEC is able to detect copy-number alterations, loss of heterozygosity, and estimate purity, ploidy, and infer normal contamination in tumor samples. It can handle both paired and single tumor samples, and applies SNP calling using the Samtools-Bcftools package.","Bioinformatics, Copy Number Variation, Whole-Genome Sequencing",,,,Anvil: https://www.rcac.purdue.edu/software/control-freec,Anvil: 11.6,Control-FREEC is a tool for detection of copy-number alterations and loss of heterozygosity in whole-genome sequencing data.,
cooler,Anvil,Bioinformatics,Data Analysis & Visualization,Biological Sciences,,,"Cooler is a support library for a sparse, compressed, binary persistent storage format, also called cooler, used to store genomic interaction data, such as Hi-C contact matrices.","1. Processing Hi-C data
2. Normalization of chromatin interaction matrices
3. Visualization of chromatin interactions
4. Analysis and interpretation tools for Hi-C data","Computational Software, Hi-C Data Analysis, Chromatin Interaction Data Analysis",,,,Anvil: https://www.rcac.purdue.edu/software/cooler,Anvil: 0.8.11,"Cooler is a computational software package used for the analysis, normalization, and visualization of Hi-C and other chromatin interaction data. It provides tools for processing, exploring, and interpreting high-resolution chromatin interaction data.",
coordgenlibs,"Aces, Faster",Chemical Informatics,Library,Chemical Sciences,,,"This is Schrödinger, Inc's 2D coordinate generation. CoordgenLibs is a computational library used for automatically generating 2D coordinates for molecular structures, facilitating their visualization and analysis in chemical informatics and drug design applications. It is part of the Schrödinger suite, designed to produce chemically meaningful and aesthetically pleasing representations of molecules.","1. Generation of 3D coordinates for small molecules
2. Connectivity-based atom coordination
3. Geometric constraints for accurate coordinate assignment
4. Integration with various computational chemistry workflows","Computational Chemistry, 3D Coordinate Generation, Small Molecules",https://github.com/schrodinger/coordgenlibs,https://github.com/schrodinger/coordgenlibs/blob/master/README.md,https://github.com/schrodinger/coordgenlibs/tree/master/example_dir,"Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 3.0.1
Faster: 3.0.1",CoordGenLibs is a set of computational chemistry libraries and tools for generating 3D coordinates for small molecules. It provides functions for assigning coordinates to atoms based on connectivity information and geometric constraints.,
coverage,Aces,Tool,Testing & Quality Assurance,"Engineering & Technology, Computer & Information Sciences, Software Engineering, Systems, & Development",,,,"Measures Code Coverage To Evaluate The Effectiveness Of Test Suites, Identifies Parts Of The Code That Have Not Been Tested, Helps Developers Understand The Quality Of Their Testing Efforts, Can Be Used To Improve Test Coverage & Identify Potential Gaps In Testing","Code Coverage, Testing, Software Development, Quality Assurance",,,,Aces: https://hprc.tamu.edu/software/aces/,,Coverage is a tool used to measure the extent to which the source code of a program has been tested. It is often used in software development to assess the quality and thoroughness of testing by determining which parts of the code have been executed during testing.,
coverm,Anvil,Genomic Analysis Tool,Computational Tool,Biological Sciences,Bioinformatics,,"Coverm is a configurable, easy to use and fast DNA read coverage and relative abundance calculator focused on metagenomics applications.","Some core features of COVERM include calculating coverage and abundance metrics for genes in metagenomic data, assessing sample completeness, providing visualizations for coverage profiles, and enabling users to compare different samples.","Metagenomics, Bioinformatics, Genomics",,,,Anvil: https://www.rcac.purdue.edu/software/coverm,Anvil: 0.6.1,"COVERM is a software tool for the analysis of metagenomic data, particularly for evaluating the coverage and abundance of genes or sequences within metagenomes.",
covgen,Anvil,Analysis Tool,Bioinformatics Tool,Biological Sciences,,,Covgen creates a target specific exome_full192.coverage.txt file required by MutSig.,"1. Calculates sequencing coverage statistics
2. Visualizes coverage data in graphical format
3. Facilitates comparison of coverage between samples
4. Supports various sequencing platforms and data formats
5. Automates the process of calculating coverage metrics
6. Intuitive and user-friendly interface for ease of use","Sequencing Data Analysis, Coverage Statistics, Bioinformatics",,,,Anvil: https://www.rcac.purdue.edu/software/covgen,Anvil: 1.0.2,"CovGen is a software tool designed for generating coverage statistics from sequencing data, particularly useful in the field of bioinformatics for analyzing the depth and distribution of sequencing coverage across the genome.",
cp2k,"Aces, Anvil, Bridges-2, Expanse, Faster, Ookami, Stampede3",Molecular Simulation,Computational Software,Physical Sciences,"Condensed Matter Physics, Atomic, Molecular, & Optical Physics",Physical Sciences,"CP2K is a quantum chemistry and solid state physics software package that can perform atomistic simulations of solid state, liquid, molecular, periodic, material, crystal, and biological systems. 
Description Source: https://www.cp2k.org/","Key features of CP2K include density functional theory (DFT) calculations, molecular dynamics simulations, efficient algorithms for large-scale parallel computations, advanced basis sets, and support for various functionals and dispersion corrections. It also offers tools for studying solvation effects, band structures, and NMR properties.","Computational Chemistry, Quantum Mechanics, Molecular Dynamics",https://www.cp2k.org/,https://manual.cp2k.org/trunk/,https://www.cp2k.org/exercises,"Aces: https://hprc.tamu.edu/software/aces/ 
Anvil: https://www.rcac.purdue.edu/software/cp2k 
Bridges-2: https://www.psc.edu/resources/software/cp2k 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules 
Faster: https://hprc.tamu.edu/software/faster/ 
Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami 
Stampede3: https://tacc.utexas.edu/use-tacc/software-list/","Aces: 9.1-Lib, 9.1, 2022.1-Lib, 2022.1, 2023.1-Cuda-11.8.0, 2023.1-Lib, 2023.1-Plumed-2.9.0, 2023.1
Anvil: 8.2
Bridges-2: 7.1-Intel, 8.1-Gcc10.2.0-Openmpi4.0.5, ...
Expanse: Ub7Xgkh-Omp
Faster: 8.2, 2023.1-Cuda-11.8.0","CP2K is an open-source quantum chemistry and solid state physics software package designed to perform atomistic simulations of solid-state, liquid, molecular, and biological systems. It can be used to study a wide range of properties, including electronic structures, molecular dynamics, and vibrational spectra.",
cpe,"Delta, Ookami",Tool,Security Software,Computer & Information Sciences,"Software Engineering, Systems, & Development",Computer Science,"Cray Compiling Environment (CCE) consists of compilers, libraries, and utilities that perform code analysis during compilation and automatically generate highly optimized code. Compilers support numerous command-line arguments to enable manual control over compiler behavior and optimization. Supported languages include Fortran, C and C++, and UPC (Unified Parallel C). 
Description Source: https://cpe.ext.hpe.com/docs/cce/index.html","1. Standardized identification and description of software and hardware entities.
2. Facilitates interoperability between security tools and databases.
3. Assigns unique identifiers to each software, operating system, and hardware device.
4. Supports accurate and efficient information exchange in the cybersecurity domain.","Software Identification, Cybersecurity, Information Exchange",https://www.hpe.com/psnow/doc/a50002303enw,https://cpe.ext.hpe.com/docs/cce/index.html#cce,https://cpe.ext.hpe.com/docs/guides/CPE/index_user_guides.html,"Delta: https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/software.html 
Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami",Delta: 23.09,"CPE (Common Platform Enumeration) is a standardized method to describe and identify classes of applications, operating systems, and hardware devices in a consistent format. It provides unique identifiers for these entities to facilitate accurate and efficient information exchange between different security tools and databases.",
cpe-nosve,Ookami,,,Computer & Information Sciences,,,"NOS/VE is a proprietary operating system of CDC in close relation to the well-renowned MULTICS operating system of MIT, see www.multicians.org. It is a virtual memory operating system, employing the 64-bit virtual mode of the Cyber 960 as opposed to the 60-bit real memory mode (CDC 6600/7600 mode) used by the NOS operating system. Both systems run concurrently on a single CPU. 
Description Source: https://www.cray-cyber.org/old/documentation/nosve_howto.php","1: Utilizes canonical polyadic decomposition (CPD) analysis for network structure inference 2: Validates and elucidates complex network structures, 3: Assists in understanding the underlying architecture of networks from observed data","Computational Software, Network Analysis, Data Validation, Structure Elucidation",https://www.cray-cyber.org/old/documentation/nosve_howto.php,https://www.cray-cyber.org/old/documentation/nosve_howto.php,https://cray-cyber.org/old/systems/cy960_shortguide.php,Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami,,"CPE-NOsvE (Canonical Polyadic Decomposition-based Network Observation for Structure Validation and Elucidation) is a computational tool for network structure elucidation and validation using canonical polyadic decomposition (CPD) analysis. It is designed to infer the underlying structure of complex networks from observed data, helping researchers better understand and validate network architectures.",
